(1, 1, null, null, ../../assets/recipe-icons/maple-lumber.png, Maple Lumber, 1, Maple Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(219, 74, null, null, ../../assets/recipe-icons/white-ash-lumber.png, White Ash Lumber, 1, White Ash Log, 4, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 7, null, null),
(220, 74, 403, null, ../../assets/recipe-icons/bluespirit-spear.png, Bluespirit Spear, 1, White Ash Lumber, 2, Bluespirit Tile, 2, Star Ruby, 1, Darksteel Nugget, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(221, 74, 403, null, ../../assets/recipe-icons/bluespirit-cane.png, Bluespirit Cane, 1, White Ash Lumber, 1, Bluespirit Tile, 1, Manasilver Nugget, 2, Growth Formula Iota, 1, Star Ruby, 1, null, null, Wind Crystal, 7, Ice Crystal, 6),
(222, 74, 370, null, ../../assets/recipe-icons/white-ash-grinding-wheel.png, White Ash Grinding Wheel, 1, White Ash Lumber, 2, Bluespirit Tile, 1, Hard Mudstone Whetstone, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(223, 74, 370, null, ../../assets/recipe-icons/white-ash-spinning-wheel.png, White Ash Spinning Wheel, 1, White Ash Lumber, 3, Manasilver Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(224, 74, 370, null, ../../assets/recipe-icons/white-ash-fishing-rod.png, White Ash Fishing Rod, 1, White Ash Lumber, 2, Bluespirit Tile, 1, Atrociraptor Leather, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(225, 75, 403, null, ../../assets/recipe-icons/white-ash-earring-of-fending.png, White Ash Earring of Fending, 1, White Ash Lumber, 1, Atrociraptor Leather, 1, Rainbow Thread, 1, Grade 1 Vitality Alkahest, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(226, 75, 403, null, ../../assets/recipe-icons/white-ash-earring-of-slaying.png, White Ash Earring of Slaying, 1, White Ash Lumber, 1, Atrociraptor Leather, 1, Rainbow Thread, 1, Grade 1 Strength Alkahest, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(227, 75, 403, null, ../../assets/recipe-icons/white-ash-earring-of-aiming.png, White Ash Earring of Aiming, 1, White Ash Lumber, 1, Atrociraptor Leather, 1, Rainbow Thread, 1, Grade 1 Dexterity Alkahest, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(228, 75, 403, null, ../../assets/recipe-icons/white-ash-earring-of-casting.png, White Ash Earring of Casting, 1, White Ash Lumber, 1, Atrociraptor Leather, 1, Rainbow Thread, 1, Grade 1 Intelligence Alkahest, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(229, 75, 403, null, ../../assets/recipe-icons/white-ash-earring-of-healing.png, White Ash Earring of Healing, 1, White Ash Lumber, 1, Atrociraptor Leather, 1, Rainbow Thread, 1, Grade 1 Mind Alkahest, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(230, 75, 390, null, ../../assets/recipe-icons/white-ash-earrings.png, White Ash Earrings, 1, White Ash Lumber, 2, Manasilver Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(231, 75, 390, null, ../../assets/recipe-icons/white-ash-necklace.png, White Ash Necklace, 1, White Ash Lumber, 2, Manasilver Nugget, 1, Kudzu Thread, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(232, 75, 390, null, ../../assets/recipe-icons/white-ash-bracelet.png, White Ash Bracelet, 1, White Ash Lumber, 2, Manasilver Nugget, 1, Kudzu Thread, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(233, 75, 390, null, ../../assets/recipe-icons/white-ash-ring.png, White Ash Ring, 1, White Ash Lumber, 1, Manasilver Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(234, 76, null, null, ../../assets/recipe-icons/sandteak-lumber.png, Sandteak Lumber, 1, Sandteak Log, 4, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 7, null, null),
(235, 76, 409, null, ../../assets/recipe-icons/sandteak-fauchard.png, Sandteak Fauchard, 1, Sandteak Lumber, 2, Titanbronze Ingot, 2, Titanium Nugget, 1, Starch Glue, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(236, 76, 409, null, ../../assets/recipe-icons/sandteak-longbow.png, Sandteak Longbow, 1, Sandteak Lumber, 3, Zonure Leather, 1, Titanium Nugget, 1, Starch Glue, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(237, 76, 409, null, ../../assets/recipe-icons/sandteak-rod.png, Sandteak Rod, 1, Sandteak Lumber, 2, Growth Formula Kappa, 1, Titanbronze Nugget, 1, Hardsilver Nugget, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(238, 76, 409, null, ../../assets/recipe-icons/sandteak-cane.png, Sandteak Cane, 1, Sandteak Lumber, 2, Growth Formula Kappa, 1, Titanbronze Nugget, 1, Hardsilver Nugget, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 6),
(239, 77, 400, null, ../../assets/recipe-icons/sandteak-grinding-wheel.png, Sandteak Grinding Wheel, 1, Sandteak Lumber, 2, Titanbronze Ingot, 1, Tuff Whetstone, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(240, 77, 400, null, ../../assets/recipe-icons/sandteak-spinning-wheel.png, Sandteak Spinning Wheel, 1, Sandteak Lumber, 3, Titanbronze Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(241, 77, 400, null, ../../assets/recipe-icons/sandteak-fishing-rod.png, Sandteak Fishing Rod, 1, Sandteak Lumber, 2, Titanbronze Ingot, 1, Zonure Leather, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(242, 78, null, null, ../../assets/recipe-icons/lignum-vitae-lumber.png, Lignum Vitae Lumber, 1, Lignum Vitae Log, 4, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 7, null, null),
(243, 78, 415, null, ../../assets/recipe-icons/dwarven-lignum-lance.png, Dwarven Lignum Lance, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Ingot, 1, Dwarven Mythril Nugget, 1, Deepgold Ingot, 1, Starch Glue, 1, null, null, Wind Crystal, 7, Ice Crystal, 7),
(244, 78, 415, null, ../../assets/recipe-icons/dwarven-lignum-bow.png, Dwarven Lignum Bow, 1, Lignum Vitae Lumber, 1, Dwarven Mythril Ingot, 2, Dwarven Mythril Nugget, 1, Deepgold Ingot, 1, Starch Glue, 1, null, null, Wind Crystal, 7, Ice Crystal, 7),
(245, 78, 415, null, ../../assets/recipe-icons/dwarven-lignum-pole.png, Dwarven Lignum Pole, 1, Lignum Vitae Lumber, 1, Dwarven Mythril Ingot, 2, Dwarven Mythril Nugget, 1, Growth Formula Kappa, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(246, 78, 415, null, ../../assets/recipe-icons/dwarven-lignum-cane.png, Dwarven Lignum Cane, 1, Lignum Vitae Lumber, 1, Dwarven Mythril Ingot, 2, Dwarven Mythril Nugget, 1, Growth Formula Kappa, 1, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(247, 79, 430, null, ../../assets/recipe-icons/lignum-vitae-earrings.png, Lignum Vitae Earrings, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(248, 79, 430, null, ../../assets/recipe-icons/lignum-vitae-necklace.png, Lignum Vitae Necklace, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Nugget, 1, Iridescent Silk Thread, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(249, 79, 430, null, ../../assets/recipe-icons/lignum-vitae-bracelet.png, Lignum Vitae Bracelet, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Nugget, 1, Iridescent Silk Thread, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(250, 79, 430, null, ../../assets/recipe-icons/lignum-vitae-ring.png, Lignum Vitae Ring, 1, Lignum Vitae Lumber, 1, Dwarven Mythril Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(251, 80, 430, null, ../../assets/recipe-icons/lignum-vitae-grinding-wheel.png, Lignum Vitae Grinding Wheel, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Ingot, 1, Tuff Whetstone, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(252, 80, 430, null, ../../assets/recipe-icons/lignum-vitae-spinning-wheel.png, Lignum Vitae Spinning Wheel, 1, Lignum Vitae Lumber, 3, Dwarven Mythril Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(253, 80, 430, null, ../../assets/recipe-icons/lignum-vitae-fishing-rod.png, Lignum Vitae Fishing Rod, 1, Lignum Vitae Lumber, 2, Dwarven Mythril Ingot, 1, Sea Swallow Leather, 1, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(254, 50 , null, Master Carpenter I, ../../assets/recipe-icons/spruce-plywood.png, Spruce Plywood, 1, Spruce Lumber, 1, Horn Glue, 2, null, null, null, null, null, null, null, null, Wind Shard, 11, Ice Shard, 10),
(255, 50 , null, Master Carpenter I, ../../assets/recipe-icons/magitek-repair-materials.png, Magitek Repair Materials, 1, Dark Matter Cluster, 1, Grade 6 Dark Matter, 5, null, null, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 5),
(256, 50 , null, Master Carpenter I, ../../assets/recipe-icons/beach-chair.png, Beach Chair, 1, Treated Spruce Lumber, 3, Mariner Cotton Cloth, 5, Linen Yarn, 3, Varnish, 5, null, null, null, null, Wind Cluster, 1, Ice Cluster, 1),
(257, 50 , null, Master Carpenter I, ../../assets/recipe-icons/round-stage.png, Round Stage, 1, Treated Spruce Lumber, 4, Darksteel Ingot, 2, Varnish, 2, null, null, null, null, null, null, Wind Crystal, 5, Ice Crystal, 5),
(258, 50 , null, Master Carpenter I, ../../assets/recipe-icons/reinforced-spruce-plywood.png, Reinforced Spruce Plywood, 1, Spruce Plywood, 1, Fieldcraft Demimateria III, 2, null, null, null, null, null, null, null, null, Wind Shard, 12, Ice Shard, 11),
(259, 50 , null, Master Carpenter I, ../../assets/recipe-icons/petrified-orb.png, Petrified Orb, 1, Urushi, 3, Petrified Log, 1, Scarlet Sap, 1, null, null, null, null, null, null, Wind Cluster, 3, Ice Cluster, 2),
(260, 50 , null, Master Carpenter I, ../../assets/recipe-icons/perfect-firewood.png, Perfect Firewood, 1, Aged Spear Shaft, 1, Cypress Log, 2, Grenade Ash, 1, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(261, 50 , null, Master Carpenter I, ../../assets/recipe-icons/ancient-lumber.png, Ancient Lumber, 1, Petrified Log, 1, Scarlet Sap, 1, null, null, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(262, 50 , 70, Master Carpenter I, ../../assets/recipe-icons/artisan's-grinding-wheel.png, Artisan's Grinding Wheel, 1, Ancient Lumber, 1, Rose Gold Ingot, 1, Astral Rock, 1, Quick-hardening Sealant, 6, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(263, 50 , 70, Master Carpenter I, ../../assets/recipe-icons/artisan's-spinning-wheel.png, Artisan's Spinning Wheel, 1, Ancient Lumber, 1, Treated Spruce Lumber, 1, Cobalt Rivets, 1, Quick-hardening Sealant, 6, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(264, 50 , null, Master Carpenter I, ../../assets/recipe-icons/oriental-deck.png, Oriental Deck, 1, Ancient Lumber, 7, Roof Tile, 15, Granite, 2, Varnish, 4, Maiden Grass, 5, Fieldcraft Demimateria II, 3, Wind Cluster, 2, Ice Cluster, 1),
(265, 50 , null, Master Carpenter I, ../../assets/recipe-icons/glade-partition-door.png, Glade Partition Door, 1, Ancient Lumber, 3, Rosewood Lumber, 4, Silver Ingot, 1, Steel Hinge, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(266, 50 , null, Master Carpenter I, ../../assets/recipe-icons/oasis-partition-door.png, Oasis Partition Door, 1, Ancient Lumber, 3, Walnut Lumber, 4, Electrum Ingot, 1, Steel Hinge, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(267, 50 , null, Master Carpenter I, ../../assets/recipe-icons/staggered-shelf.png, Staggered Shelf, 1, Ancient Lumber, 5, Wolfram Ingot, 1, Varnish, 3, Fieldcraft Demimateria II, 3, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(268, 50 , null, Master Carpenter I, ../../assets/recipe-icons/portable-stepladder.png, Portable Stepladder, 1, Ancient Lumber, 3, Darksteel Nugget, 2, Steel Hinge, 1, Varnish, 2, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(269, 50 , null, Master Carpenter I, ../../assets/recipe-icons/glade-bachelor's-chest.png, Glade Bachelor's Chest, 1, Ancient Lumber, 4, Cobalt Ingot, 2, Cobalt Rivets, 1, Varnish, 2, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(270, 56, null, Master Carpenter I, ../../assets/recipe-icons/cassia-lumber.png, Cassia Lumber, 1, Cassia Log, 3, Hardened Sap, 9, null, null, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(271, 50 , null, Master Carpenter II, ../../assets/recipe-icons/ebony-lumber.png, Ebony Lumber, 1, Ebony Log, 2, Borax, 9, null, null, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(272, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/wootz-spear.png, Wootz Spear, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Ebony Lumber, 3, Wootz Ingot, 2, Gold Ingot, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
(273, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/mighty-thunderbolt.png, Mighty Thunderbolt, 1, Wolfram Ingot, 2, Ancient Lumber, 2, Gold Ingot, 1, Large Levin Orb, 1, Battlecraft Demimateria III, 5, null, null, Lightning Cluster, 4, null, null),
(274, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/ebony-longbow.png, Ebony Longbow, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Ebony Lumber, 3, Wootz Ingot, 2, Ruby, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
(275, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/mighty-thunderdart.png, Mighty Thunderdart, 1, Wolfram Ingot, 1, Ancient Lumber, 3, Gold Ingot, 1, Large Levin Orb, 1, Battlecraft Demimateria III, 5, null, null, Lightning Cluster, 4, null, null),
(276, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/ebony-staff.png, Ebony Staff, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Ebony Lumber, 3, Platinum Ingot, 2, Iolite, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
(277, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/ebony-cane.png, Ebony Cane, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Ebony Lumber, 3, Platinum Ingot, 2, Diamond, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
(278, 50 , 110, Master Carpenter II, ../../assets/recipe-icons/high-adjudicator's-gavel.png, High Adjudicator's Gavel, 1, Ancient Lumber, 3, Gold Ingot, 2, Large Levin Orb, 1, Battlecraft Demimateria III, 5, null, null, null, null, Lightning Cluster, 4, null, null),
(279, 50 , 60, Master Carpenter II, ../../assets/recipe-icons/artisan's-sandals.png, Artisan's Sandals, 1, Mastercraft Demimateria, 1, Platinum Nugget, 1, Treated Spruce Lumber, 1, Hippogryph Leather, 2, Quick-hardening Sealant, 3, null, null, Wind Cluster, 2, Ice Cluster, 2),
(280, 58, null, Master Carpenter III, ../../assets/recipe-icons/the-unending-journey.png, The Unending Journey, 1, Cassia Lumber, 1, Birch Lumber, 2, Mythrite Ingot, 1, Undyed Velveteen, 1, Glade Lantern, 1, Ink & Quill, 1, Wind Shard, 8, Ice Shard, 8),
(281, 60, 150, Master Carpenter III, ../../assets/recipe-icons/adamantite-trident.png, Adamantite Trident, 1, Birch Lumber, 1, Adamantite Nugget, 3, Amphiptere Leather, 1, Scale Glue, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(282, 60, 150, Master Carpenter III, ../../assets/recipe-icons/birch-composite-bow.png, Birch Composite Bow, 1, Birch Lumber, 2, Birch Branch, 1, Aurum Regis Nugget, 3, Crawler Silk, 1, Adamantite Rivets, 1, null, null, Wind Cluster, 2, Ice Cluster, 1),
(283, 60, 150, Master Carpenter III, ../../assets/recipe-icons/birch-rod.png, Birch Rod, 1, Birch Lumber, 2, Birch Branch, 1, Aurum Regis Nugget, 1, Archaeornis Leather, 1, Star Sapphire, 2, Growth Formula Zeta, 1, Wind Cluster, 2, Ice Cluster, 1),
(284, 60, 150, Master Carpenter III, ../../assets/recipe-icons/birch-fishing-rod.png, Birch Fishing Rod, 1, Birch Lumber, 1, Birch Branch, 2, Aurum Regis Nugget, 2, Chimerical Felt, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(285, 60, null, Master Carpenter III, ../../assets/recipe-icons/hive-ceiling-fan.png, Hive Ceiling Fan, 1, Ravana's Forewing, 1, Tallow Candle, 4, Birch Lumber, 3, Hardsilver Ingot, 2, Fieldcraft Demimateria II, 4, null, null, Wind Cluster, 2, Ice Cluster, 1),
(286, 60 , null, Master Carpenter III, ../../assets/recipe-icons/cassia-block.png, Cassia Block, 1, Cassia Lumber, 1, Astral Oil, 1, Dawnborne Aethersand, 1, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(287, 60 , null, Master Carpenter III, ../../assets/recipe-icons/dispelling-arrow.png, Dispelling Arrow, 1, Blessed Fletchings, 1, Hallowed Chestnut Lumber, 1, Hardsilver Nugget, 1, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(288, 60 , null, Master Carpenter III, ../../assets/recipe-icons/clockwork-barrow.png, Clockwork Barrow, 1, Steel Mainspring, 1, Steel Wheel Bearing, 1, Birch Lumber, 3, Glazenut, 1, Dawnborne Aethersand, 1, null, null, Wind Shard, 99, null, null),
(289, 60 , null, Master Carpenter III, ../../assets/recipe-icons/unfinished-interior-wall.png, Unfinished Interior Wall, 1, Astral Birch Lumber, 5, Cut Stone, 4, Granite, 3, null, null, null, null, null, null, Wind Crystal, 6, Ice Crystal, 6),
(290, 60 , null, Master Carpenter III, ../../assets/recipe-icons/unfinished-wood-flooring.png, Unfinished Wood Flooring, 1, Astral Birch Lumber, 5, Cut Stone, 4, Granite, 3, null, null, null, null, null, null, Wind Crystal, 6, Ice Crystal, 6),
(291, 60 , null, Master Carpenter III, ../../assets/recipe-icons/deep-hive-ceiling-fan.png, Deep Hive Ceiling Fan, 1, Hive Forewing, 1, Tallow Candle, 4, Birch Lumber, 3, Aurum Regis Nugget, 2, Fieldcraft Demimateria III, 5, null, null, Wind Cluster, 2, Ice Cluster, 1),
(292, 60 , null, Master Carpenter III, ../../assets/recipe-icons/magnificent-mogdelier.png, Magnificent Mogdelier, 1, Magnanimous Mogcrown, 3, Tallow Candle, 6, Birch Lumber, 3, Chimerical Felt, 2, Fieldcraft Demimateria II, 4, null, null, Wind Cluster, 2, Ice Cluster, 1),
(293, 60 , null, Master Carpenter III, ../../assets/recipe-icons/bar-stool.png, Bar Stool, 1, Astral Birch Lumber, 1, Dark Chestnut Lumber, 1, Darksteel Rivets, 1, Varnish, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(294, 60 , null, Master Carpenter III, ../../assets/recipe-icons/gordian-bureau.png, Gordian Bureau, 1, Gordian Gear, 2, Birch Lumber, 5, Adamantite Nugget, 2, Aurum Regis Nugget, 2, Allagan Catalyst, 2, null, null, Wind Cluster, 2, Ice Cluster, 1),
(295, 60 , null, Master Carpenter III, ../../assets/recipe-icons/bar-counter.png, Bar Counter, 1, Astral Birch Lumber, 3, Dark Chestnut Lumber, 3, Darksteel Rivets, 2, Varnish, 2, null, null, null, null, Wind Cluster, 2, Ice Cluster, 1),
(296, 60 , null, Master Carpenter III, ../../assets/recipe-icons/stuffed-carbuncle.png, Stuffed Carbuncle, 1, Far Eastern Coin, 3, Birch Lumber, 3, Vanya Silk, 3, Star Ruby, 5, Aurum Regis Nugget, 2, null, null, Wind Cluster, 2, Ice Cluster, 1),
(297, 60 , null, Master Carpenter III, ../../assets/recipe-icons/astral-birch-lumber.png, Astral Birch Lumber, 3, Birch Lumber, 2, Dryad Sap, 5, Astral Oil, 1, null, null, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(298, 60 , 170, Master Carpenter III, ../../assets/recipe-icons/sun-mica-grinding-wheel.png, Sun Mica Grinding Wheel, 1, Astral Birch Lumber, 2, Aurum Regis Ingot, 1, Sun Mica, 2, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, Wind Cluster, 2, Ice Cluster, 2),
(299, 60 , 170, Master Carpenter III, ../../assets/recipe-icons/astral-birch-spinning-wheel.png, Astral Birch Spinning Wheel, 1, Astral Birch Lumber, 3, Adamantite Rivets, 3, Landborne Aethersand, 2, Fieldcraft Demimateria III, 3, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(300, 60 , 170, Master Carpenter III, ../../assets/recipe-icons/astral-birch-necklace.png, Astral Birch Necklace, 1, Astral Birch Lumber, 2, Varnish, 1, Seaborne Aethersand, 1, Fieldcraft Demimateria III, 2, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(301, 60 , 170, Master Carpenter III, ../../assets/recipe-icons/astral-birch-armillae.png, Astral Birch Armillae, 1, Astral Birch Lumber, 2, Varnish, 1, Leafborne Aethersand, 1, Fieldcraft Demimateria III, 2, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(302, 60 , 170, Master Carpenter III, ../../assets/recipe-icons/astral-birch-ring.png, Astral Birch Ring, 1, Astral Birch Lumber, 1, Varnish, 1, Leafborne Aethersand, 1, Fieldcraft Demimateria III, 1, null, null, null, null, Wind Cluster, 2, Ice Cluster, 2),
(303, 60 , null, Master Carpenter III, ../../assets/recipe-icons/mhachi-coffin.png, Mhachi Coffin, 1, Coffin Lid, 1, Hallowed Chestnut Lumber, 2, Holy Rainbow Cloth, 1, Undyed Woolen Cloth, 1, Apkallu Down, 1, Allagan Catalyst, 1, Wind Cluster, 2, Ice Cluster, 2),
(304, 60 , null, Master Carpenter III, ../../assets/recipe-icons/savage-gordian-bureau.png, Savage Gordian Bureau, 1, Large Gordian Gear, 2, Astral Birch Lumber, 3, Birch Lumber, 2, Adamantite Nugget, 2, Aurum Regis Nugget, 2, Allagan Catalyst, 3, Wind Cluster, 2, Ice Cluster, 2),
(305, 60 , null, Master Carpenter III, ../../assets/recipe-icons/tiny-bronco-miniature.png, Tiny Bronco Miniature, 1, Camphorwood Lumber, 4, Darksteel Ingot, 2, Saurian Leather, 1, Linen Canvas, 2, Iron Rivets, 2, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(306, 60 , null, Master Carpenter III, ../../assets/recipe-icons/invincible-miniature.png, Invincible Miniature, 1, Camphorwood Lumber, 4, Darksteel Ingot, 2, Garlond Steel, 1, Electrum Ingot, 1, Steel Rivets, 2, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(307, 60 , null, Master Carpenter III, ../../assets/recipe-icons/enterprise-miniature.png, Enterprise Miniature, 1, Camphorwood Lumber, 4, Wolfram Ingot, 2, Garlond Steel, 1, Farreach Canvas, 1, Cobalt Rivets, 2, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(308, 60 , null, Master Carpenter III, ../../assets/recipe-icons/invincible-ii-miniature.png, Invincible II Miniature, 1, Camphorwood Lumber, 4, Mythrite Ingot, 2, Garlond Steel, 1, Rose Gold Ingot, 1, Celestine, 1, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(309, 60 , null, Master Carpenter III, ../../assets/recipe-icons/odyssey-miniature.png, Odyssey Miniature, 1, Camphorwood Lumber, 4, Ancient Lumber, 1, Garlond Steel, 1, Farreach Canvas, 1, Celestine, 1, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(310, 60 , null, Master Carpenter III, ../../assets/recipe-icons/tatanora-miniature.png, Tatanora Miniature, 1, Camphorwood Lumber, 4, Cassia Lumber, 1, Garlond Steel, 1, High Allagan Chimera Leather, 1, Celestine, 1, Varnish, 2, Wind Cluster, 2, Ice Cluster, 2),
(311, 60 , null, Master Carpenter III, ../../assets/recipe-icons/viltgance-miniature.png, Viltgance Miniature, 1, Camphorwood Lumber, 4, Cassia Block, 1, Galvanized Garlond Steel, 1, Farreach Canvas, 1, Celestine, 1, Astral Oil, 1, Wind Cluster, 2, Ice Cluster, 2),
(312, 60 , null, Master Carpenter IV, ../../assets/recipe-icons/camphorwood-lumber.png, Camphorwood Lumber, 1, Camphorwood Log, 3, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 7, Ice Crystal, 7),
(313, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/endless-expanse-partisan.png, Endless Expanse Partisan, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 2, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(314, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/dead-hive-spear.png, Dead Hive Spear, 1, High Mythrite Ingot, 2, Treated Camphorwood Lumber, 2, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(315, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/endless-expanse-longbow.png, Endless Expanse Longbow, 1, High Mythrite Ingot, 1, Treated Camphorwood Lumber, 3, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(316, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/dead-hive-bow.png, Dead Hive Bow, 1, High Mythrite Ingot, 1, Treated Camphorwood Lumber, 3, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(317, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/endless-expanse-cane.png, Endless Expanse Cane, 1, High Mythrite Ingot, 1, Treated Camphorwood Lumber, 3, Eikon Iron Ingot, 1, Expanse Baleen, 1, Battlecraft Demimateria III, 5, null, null, Wind Cluster, 2, Water Cluster, 2),
(318, 60 , 180, Master Carpenter IV, ../../assets/recipe-icons/dead-hive-cane.png, Dead Hive Cane, 1, High Mythrite Ingot, 1, Treated Camphorwood Lumber, 3, Eikon Iron Ingot, 1, Hive Forewing, 1, Battlecraft Demimateria III, 5, null, null, Fire Cluster, 2, Earth Cluster, 2),
(319, 60 , null, Master Carpenter IV, ../../assets/recipe-icons/shishi-odoshi.png, Shishi-odoshi, 1, Bamboo Stick, 3, Siltstone, 10, Cut Stone, 3, Astral Moraine, 5, Young Water Lily, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
(320, 60 , null, Master Carpenter IV, ../../assets/recipe-icons/orchestrion.png, Orchestrion, 1, Cassia Block, 1, Birch Lumber, 3, Rosewood Lumber, 3, Gold Ingot, 1, Scale Glue, 1, null, null, Wind Cluster, 2, Ice Cluster, 2),
