(1, 1, null, null, ../../assets/recipe-icons/copper-ingot.png, Copper Ingot, 1, Copper Ore, 3, null, null, null, null, null, null, null, null, null, null, Wind Shard, 1, null, null),
(333, 51, 115, null, ../../assets/recipe-icons/mythrite-earrings-of-casting.png, Mythrite Earrings of Casting, 1, Mythrite Nugget, 2, Jadeite, 2, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(334, 51, 115, null, ../../assets/recipe-icons/mythrite-bangle-of-fending.png, Mythrite Bangle of Fending, 1, Mythrite Nugget, 1, Tiger's Eye, 2, Jadeite, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(335, 51, 115, null, ../../assets/recipe-icons/mythrite-bangle-of-slaying.png, Mythrite Bangle of Slaying, 1, Mythrite Nugget, 1, Tiger's Eye, 2, Jadeite, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(336, 51, 115, null, ../../assets/recipe-icons/mythrite-bangle-of-aiming.png, Mythrite Bangle of Aiming, 1, Mythrite Nugget, 1, Tiger's Eye, 2, Jadeite, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(337, 51, 115, null, ../../assets/recipe-icons/mythrite-bangle-of-healing.png, Mythrite Bangle of Healing, 1, Mythrite Nugget, 1, Tiger's Eye, 2, Jadeite, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(338, 51, 115, null, ../../assets/recipe-icons/mythrite-bangle-of-casting.png, Mythrite Bangle of Casting, 1, Mythrite Nugget, 1, Tiger's Eye, 2, Jadeite, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(339, 51, 115, null, ../../assets/recipe-icons/agate-ring-of-fending.png, Agate Ring of Fending, 1, Agate, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(340, 51, 115, null, ../../assets/recipe-icons/agate-ring-of-slaying.png, Agate Ring of Slaying, 1, Agate, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(341, 51, 115, null, ../../assets/recipe-icons/agate-ring-of-aiming.png, Agate Ring of Aiming, 1, Agate, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(342, 51, 115, null, ../../assets/recipe-icons/agate-ring-of-healing.png, Agate Ring of Healing, 1, Agate, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(343, 51, 115, null, ../../assets/recipe-icons/agate-ring-of-casting.png, Agate Ring of Casting, 1, Agate, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 2),
(344, 52, null, null, ../../assets/recipe-icons/mythrite-ingot.png, Mythrite Ingot, 1, Mythrite Ore, 4, Mythrite Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, null, null),
(345, 52, 125, null, ../../assets/recipe-icons/mythrite-foil.png, Mythrite Foil, 1, Mythrite Ingot, 3, Cedar Lumber, 1, Mythrite Nugget, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(346, 52, 85, null, ../../assets/recipe-icons/mythrite-needle.png, Mythrite Needle, 1, Mythrite Nugget, 2, Cedar Lumber, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(347, 52, 125, null, ../../assets/recipe-icons/mythrite-earblades-of-fending.png, Mythrite Earblades of Fending, 1, Mythrite Ingot, 1, Silver Ingot, 1, Cloud Coral, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(348, 52, 125, null, ../../assets/recipe-icons/mythrite-earblades-of-slaying.png, Mythrite Earblades of Slaying, 1, Mythrite Ingot, 1, Silver Ingot, 1, Cloud Coral, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(349, 52, 125, null, ../../assets/recipe-icons/mythrite-earblades-of-aiming.png, Mythrite Earblades of Aiming, 1, Mythrite Ingot, 1, Silver Ingot, 1, Cloud Coral, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(350, 52, 125, null, ../../assets/recipe-icons/mythrite-earblades-of-healing.png, Mythrite Earblades of Healing, 1, Mythrite Ingot, 1, Silver Ingot, 1, Cloud Coral, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(351, 52, 125, null, ../../assets/recipe-icons/mythrite-earblades-of-casting.png, Mythrite Earblades of Casting, 1, Mythrite Ingot, 1, Silver Ingot, 1, Cloud Coral, 2, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(352, 52, 70, null, ../../assets/recipe-icons/yeti-fang-earrings.png, Yeti Fang Earrings, 1, Yeti Fang, 2, Mythrite Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(353, 52, 70, null, ../../assets/recipe-icons/mythrite-earrings-of-gathering.png, Mythrite Earrings of Gathering, 1, Mythrite Nugget, 2, Holy Water, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(354, 52, 125, null, ../../assets/recipe-icons/mythrite-bracelet-of-fending.png, Mythrite Bracelet of Fending, 1, Mythrite Ingot, 2, Wyvern Leather, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(355, 52, 125, null, ../../assets/recipe-icons/mythrite-bracelet-of-slaying.png, Mythrite Bracelet of Slaying, 1, Mythrite Ingot, 2, Wyvern Leather, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(356, 52, 125, null, ../../assets/recipe-icons/mythrite-bracelet-of-aiming.png, Mythrite Bracelet of Aiming, 1, Mythrite Ingot, 2, Wyvern Leather, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(357, 52, 125, null, ../../assets/recipe-icons/mythrite-bracelet-of-healing.png, Mythrite Bracelet of Healing, 1, Mythrite Ingot, 2, Wyvern Leather, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(358, 52, 125, null, ../../assets/recipe-icons/mythrite-bracelet-of-casting.png, Mythrite Bracelet of Casting, 1, Mythrite Ingot, 2, Wyvern Leather, 1, null, null, null, null, null, null, null, null, Wind Crystal, 3, Fire Crystal, 3),
(359, 53, null, null, ../../assets/recipe-icons/larimar.png, Larimar, 1, Raw Larimar, 3, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, null, null),
(360, 53, 125, null, ../../assets/recipe-icons/obsidian-longpole.png, Obsidian Longpole, 1, Dragon Obsidian, 4, Darksteel Nugget, 2, Jadeite, 1, Void Glue, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(361, 53, 125, null, ../../assets/recipe-icons/mythrite-planisphere.png, Mythrite Planisphere, 1, Mythrite Ingot, 3, Electrum Ingot, 1, Spinel, 3, Enchanted Mythrite Ink, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(362, 53, 125, null, ../../assets/recipe-icons/mythrite-necklace-of-fending.png, Mythrite Necklace of Fending, 1, Mythrite Ingot, 1, Agate, 2, Rainbow Thread, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(363, 53, 125, null, ../../assets/recipe-icons/mythrite-necklace-of-slaying.png, Mythrite Necklace of Slaying, 1, Mythrite Ingot, 1, Agate, 2, Rainbow Thread, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(364, 53, 125, null, ../../assets/recipe-icons/mythrite-necklace-of-aiming.png, Mythrite Necklace of Aiming, 1, Mythrite Ingot, 1, Agate, 2, Rainbow Thread, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(365, 53, 125, null, ../../assets/recipe-icons/mythrite-necklace-of-healing.png, Mythrite Necklace of Healing, 1, Mythrite Ingot, 1, Agate, 2, Rainbow Thread, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(366, 53, 125, null, ../../assets/recipe-icons/mythrite-necklace-of-casting.png, Mythrite Necklace of Casting, 1, Mythrite Ingot, 1, Agate, 2, Rainbow Thread, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(367, 53, 125, null, ../../assets/recipe-icons/yeti-fang-ring-of-fending.png, Yeti Fang Ring of Fending, 1, Mythrite Ingot, 1, Yeti Fang, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(368, 53, 125, null, ../../assets/recipe-icons/yeti-fang-ring-of-slaying.png, Yeti Fang Ring of Slaying, 1, Mythrite Ingot, 1, Yeti Fang, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(369, 53, 125, null, ../../assets/recipe-icons/yeti-fang-ring-of-aiming.png, Yeti Fang Ring of Aiming, 1, Mythrite Ingot, 1, Yeti Fang, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(370, 53, 125, null, ../../assets/recipe-icons/yeti-fang-ring-of-healing.png, Yeti Fang Ring of Healing, 1, Mythrite Ingot, 1, Yeti Fang, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(371, 53, 125, null, ../../assets/recipe-icons/yeti-fang-ring-of-casting.png, Yeti Fang Ring of Casting, 1, Mythrite Ingot, 1, Yeti Fang, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(372, 54, null, null, ../../assets/recipe-icons/mormorion.png, Mormorion, 1, Raw Mormorion, 3, Aqueous Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, null, null),
(373, 54, null, null, ../../assets/recipe-icons/hardsilver-nugget.png, Hardsilver Nugget, 1, Hardsilver Sand, 5, Silver Ore, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, null, null),
(374, 54, 133, null, ../../assets/recipe-icons/hardsilver-staff.png, Hardsilver Staff, 1, Hardsilver Nugget, 2, Holy Rainbow Cloth, 1, Larimar, 1, Void Glue, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(375, 54, 133, null, ../../assets/recipe-icons/hardsilver-rapier.png, Hardsilver Rapier, 1, Hardsilver Nugget, 2, Holy Cedar Lumber, 1, Titanium Nugget, 2, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(376, 54, 100, null, ../../assets/recipe-icons/hardsilver-needle.png, Hardsilver Needle, 1, Hardsilver Nugget, 2, Holy Cedar Lumber, 1, Basilisk Whetstone, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(377, 54, 133, null, ../../assets/recipe-icons/hardsilver-magnifiers-of-casting.png, Hardsilver Magnifiers of Casting, 1, Hardsilver Nugget, 1, Crystal Glass, 4, null, null, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(378, 54, 133, null, ../../assets/recipe-icons/hardsilver-monocle-of-healing.png, Hardsilver Monocle of Healing, 1, Hardsilver Nugget, 1, Crystal Glass, 1, Larimar, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(379, 54, 133, null, ../../assets/recipe-icons/mormorion-ring-of-fending.png, Mormorion Ring of Fending, 1, Mormorion, 1, Basilisk Whetstone, 1, Grade 1 Vitality Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(380, 54, 133, null, ../../assets/recipe-icons/mormorion-ring-of-slaying.png, Mormorion Ring of Slaying, 1, Mormorion, 1, Basilisk Whetstone, 1, Grade 1 Strength Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(381, 54, 133, null, ../../assets/recipe-icons/mormorion-ring-of-aiming.png, Mormorion Ring of Aiming, 1, Mormorion, 1, Basilisk Whetstone, 1, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(382, 54, 133, null, ../../assets/recipe-icons/mormorion-ring-of-healing.png, Mormorion Ring of Healing, 1, Mormorion, 1, Basilisk Whetstone, 1, Grade 1 Mind Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(383, 54, 133, null, ../../assets/recipe-icons/mormorion-ring-of-casting.png, Mormorion Ring of Casting, 1, Mormorion, 1, Basilisk Whetstone, 1, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 3),
(384, 55, null, null, ../../assets/recipe-icons/star-ruby.png, Star Ruby, 1, Raw Star Ruby, 3, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, null, null),
(385, 55, null, null, ../../assets/recipe-icons/star-sapphire.png, Star Sapphire, 1, Raw Star Sapphire, 3, Basilisk Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 4, null, null),
(386, 55, 133, null, ../../assets/recipe-icons/hardsilver-star-globe.png, Hardsilver Star Globe, 1, Hardsilver Nugget, 3, Titanium Nugget, 1, Electrum Ingot, 1, Enchanted Hardsilver Ink, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(387, 55, 133, null, ../../assets/recipe-icons/hardsilver-earrings-of-fending.png, Hardsilver Earrings of Fending, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Grade 1 Vitality Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(388, 55, 133, null, ../../assets/recipe-icons/hardsilver-earrings-of-slaying.png, Hardsilver Earrings of Slaying, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Grade 1 Strength Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(389, 55, 133, null, ../../assets/recipe-icons/hardsilver-earrings-of-aiming.png, Hardsilver Earrings of Aiming, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(390, 55, 133, null, ../../assets/recipe-icons/hardsilver-earrings-of-healing.png, Hardsilver Earrings of Healing, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Grade 1 Mind Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(391, 55, 133, null, ../../assets/recipe-icons/hardsilver-earrings-of-casting.png, Hardsilver Earrings of Casting, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(392, 55, 133, null, ../../assets/recipe-icons/hardsilver-bangle-of-fending.png, Hardsilver Bangle of Fending, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Star Ruby, 2, Grade 1 Vitality Dissolvent, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(393, 55, 133, null, ../../assets/recipe-icons/hardsilver-bangle-of-slaying.png, Hardsilver Bangle of Slaying, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Star Ruby, 2, Grade 1 Strength Dissolvent, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(394, 55, 133, null, ../../assets/recipe-icons/hardsilver-bangle-of-aiming.png, Hardsilver Bangle of Aiming, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Star Ruby, 2, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(395, 55, 133, null, ../../assets/recipe-icons/hardsilver-bangle-of-healing.png, Hardsilver Bangle of Healing, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Star Ruby, 2, Grade 1 Mind Dissolvent, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(396, 55, 133, null, ../../assets/recipe-icons/hardsilver-bangle-of-casting.png, Hardsilver Bangle of Casting, 1, Hardsilver Nugget, 2, Star Sapphire, 2, Star Ruby, 2, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, Wind Crystal, 4, Fire Crystal, 4),
(397, 56, null, null, ../../assets/recipe-icons/opal.png, Opal, 1, Raw Opal, 3, Cloud Mica Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(398, 56, null, null, ../../assets/recipe-icons/cloud-mica-whetstone.png, Cloud Mica Whetstone, 1, Cloud Mica, 3, null, null, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(399, 56, null, null, ../../assets/recipe-icons/hardsilver-ingot.png, Hardsilver Ingot, 1, Hardsilver Ore, 4, Hardsilver Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(400, 56, 139, null, ../../assets/recipe-icons/hardsilver-foil.png, Hardsilver Foil, 1, Hardsilver Ingot, 2, Dark Chestnut Lumber, 1, Titanium Nugget, 2, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(401, 56, 120, null, ../../assets/recipe-icons/dragon-fang-needle.png, Dragon Fang Needle, 1, Dragon Fang, 1, Hardsilver Ingot, 1, Dark Chestnut Lumber, 1, Cloud Mica Whetstone, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(402, 56, 120, null, ../../assets/recipe-icons/dragon-fang-earrings.png, Dragon Fang Earrings, 1, Dragon Fang, 2, Hardsilver Nugget, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(403, 56, 139, null, ../../assets/recipe-icons/opal-bracelet-of-fending.png, Opal Bracelet of Fending, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Opal, 2, Grade 1 Vitality Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(404, 56, 139, null, ../../assets/recipe-icons/opal-bracelet-of-slaying.png, Opal Bracelet of Slaying, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Opal, 2, Grade 1 Strength Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(405, 56, 139, null, ../../assets/recipe-icons/opal-bracelet-of-aiming.png, Opal Bracelet of Aiming, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Opal, 2, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(406, 56, 139, null, ../../assets/recipe-icons/opal-bracelet-of-healing.png, Opal Bracelet of Healing, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Opal, 2, Grade 1 Mind Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(407, 56, 139, null, ../../assets/recipe-icons/opal-bracelet-of-casting.png, Opal Bracelet of Casting, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Opal, 2, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(408, 56, 139, null, ../../assets/recipe-icons/opal-ring-of-fending.png, Opal Ring of Fending, 1, Hardsilver Ingot, 1, Opal, 1, Grade 1 Vitality Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(409, 56, 139, null, ../../assets/recipe-icons/opal-ring-of-slaying.png, Opal Ring of Slaying, 1, Hardsilver Ingot, 1, Opal, 1, Grade 1 Strength Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(410, 56, 139, null, ../../assets/recipe-icons/opal-ring-of-aiming.png, Opal Ring of Aiming, 1, Hardsilver Ingot, 1, Opal, 1, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(411, 56, 139, null, ../../assets/recipe-icons/opal-ring-of-healing.png, Opal Ring of Healing, 1, Hardsilver Ingot, 1, Opal, 1, Grade 1 Mind Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(412, 56, 139, null, ../../assets/recipe-icons/opal-ring-of-casting.png, Opal Ring of Casting, 1, Hardsilver Ingot, 1, Opal, 1, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(413, 57, null, null, ../../assets/recipe-icons/carnelian.png, Carnelian, 1, Raw Carnelian, 3, Cloud Mica Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(414, 57, 139, null, ../../assets/recipe-icons/hardsilver-pole.png, Hardsilver Pole, 1, Hardsilver Ingot, 2, Dragon Leather, 1, Larimar, 1, Tiger's Eye, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(415, 57, 139, null, ../../assets/recipe-icons/hardsilver-planisphere.png, Hardsilver Planisphere, 1, Hardsilver Ingot, 2, Titanium Ingot, 1, Electrum Ingot, 1, Carnelian, 1, Enchanted Hardsilver Ink, 1, null, null, Wind Crystal, 5, Fire Crystal, 4),
(416, 57, 139, null, ../../assets/recipe-icons/opal-earrings-of-fending.png, Opal Earrings of Fending, 1, Hardsilver Ingot, 1, Opal, 3, Grade 1 Vitality Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(417, 57, 139, null, ../../assets/recipe-icons/opal-earrings-of-slaying.png, Opal Earrings of Slaying, 1, Hardsilver Ingot, 1, Opal, 3, Grade 1 Strength Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(418, 57, 139, null, ../../assets/recipe-icons/opal-earrings-of-aiming.png, Opal Earrings of Aiming, 1, Hardsilver Ingot, 1, Opal, 3, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(419, 57, 139, null, ../../assets/recipe-icons/opal-earrings-of-healing.png, Opal Earrings of Healing, 1, Hardsilver Ingot, 1, Opal, 3, Grade 1 Mind Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(420, 57, 139, null, ../../assets/recipe-icons/opal-earrings-of-casting.png, Opal Earrings of Casting, 1, Hardsilver Ingot, 1, Opal, 3, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(421, 57, 120, null, ../../assets/recipe-icons/hardsilver-earrings-of-gathering.png, Hardsilver Earrings of Gathering, 1, Hardsilver Ingot, 2, Hallowed Water, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(422, 57, 139, null, ../../assets/recipe-icons/opal-choker-of-fending.png, Opal Choker of Fending, 1, Hardsilver Ingot, 1, Opal, 1, Dragon Leather, 1, Grade 1 Vitality Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(423, 57, 139, null, ../../assets/recipe-icons/opal-choker-of-slaying.png, Opal Choker of Slaying, 1, Hardsilver Ingot, 1, Opal, 1, Dragon Leather, 1, Grade 1 Strength Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(424, 57, 139, null, ../../assets/recipe-icons/opal-choker-of-aiming.png, Opal Choker of Aiming, 1, Hardsilver Ingot, 1, Opal, 1, Dragon Leather, 1, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(425, 57, 139, null, ../../assets/recipe-icons/opal-choker-of-healing.png, Opal Choker of Healing, 1, Hardsilver Ingot, 1, Opal, 1, Dragon Leather, 1, Grade 1 Mind Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(426, 57, 139, null, ../../assets/recipe-icons/opal-choker-of-casting.png, Opal Choker of Casting, 1, Hardsilver Ingot, 1, Opal, 1, Dragon Leather, 1, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 4),
(427, 58, null, null, ../../assets/recipe-icons/aurum-regis-nugget.png, Aurum Regis Nugget, 1, Aurum Regis Sand, 5, Gold Ore, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(428, 58, 145, null, ../../assets/recipe-icons/aurum-regis-rapier.png, Aurum Regis Rapier, 1, Aurum Regis Nugget, 2, Hallowed Chestnut Lumber, 1, Adamantite Nugget, 2, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(429, 58, 145, null, ../../assets/recipe-icons/aurum-regis-earrings-of-fending.png, Aurum Regis Earrings of Fending, 1, Aurum Regis Nugget, 1, Hardsilver Ingot, 1, Gloaming Coral, 2, Grade 1 Vitality Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(430, 58, 145, null, ../../assets/recipe-icons/aurum-regis-earrings-of-slaying.png, Aurum Regis Earrings of Slaying, 1, Aurum Regis Nugget, 1, Hardsilver Ingot, 1, Gloaming Coral, 2, Grade 1 Strength Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(431, 58, 145, null, ../../assets/recipe-icons/aurum-regis-earrings-of-aiming.png, Aurum Regis Earrings of Aiming, 1, Aurum Regis Nugget, 1, Hardsilver Ingot, 1, Gloaming Coral, 2, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(432, 58, 145, null, ../../assets/recipe-icons/aurum-regis-earrings-of-healing.png, Aurum Regis Earrings of Healing, 1, Aurum Regis Nugget, 1, Hardsilver Ingot, 1, Gloaming Coral, 2, Grade 1 Mind Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(433, 58, 145, null, ../../assets/recipe-icons/aurum-regis-earrings-of-casting.png, Aurum Regis Earrings of Casting, 1, Aurum Regis Nugget, 1, Hardsilver Ingot, 1, Gloaming Coral, 2, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(434, 58, 145, null, ../../assets/recipe-icons/aurum-regis-bracelet-of-fending.png, Aurum Regis Bracelet of Fending, 1, Aurum Regis Nugget, 2, Archaeornis Leather, 1, Grade 1 Vitality Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(435, 58, 145, null, ../../assets/recipe-icons/aurum-regis-bracelet-of-slaying.png, Aurum Regis Bracelet of Slaying, 1, Aurum Regis Nugget, 2, Archaeornis Leather, 1, Grade 1 Strength Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(436, 58, 145, null, ../../assets/recipe-icons/aurum-regis-bracelet-of-aiming.png, Aurum Regis Bracelet of Aiming, 1, Aurum Regis Nugget, 2, Archaeornis Leather, 1, Grade 1 Dexterity Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(437, 58, 145, null, ../../assets/recipe-icons/aurum-regis-bracelet-of-healing.png, Aurum Regis Bracelet of Healing, 1, Aurum Regis Nugget, 2, Archaeornis Leather, 1, Grade 1 Mind Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(438, 58, 145, null, ../../assets/recipe-icons/aurum-regis-bracelet-of-casting.png, Aurum Regis Bracelet of Casting, 1, Aurum Regis Nugget, 2, Archaeornis Leather, 1, Grade 1 Intelligence Dissolvent, 1, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(439, 58, 145, null, ../../assets/recipe-icons/goblin-jig.png, Goblin Jig, 1, Hardsilver Ingot, 1, Cloud Mica Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
(440, 59, null, null, ../../assets/recipe-icons/citrine.png, Citrine, 1, Raw Citrine, 3, Cloud Mica Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, null, null),
(441, 59, null, null, ../../assets/recipe-icons/aurum-regis-cylinder.png, Aurum Regis Cylinder, 1, Aurum Regis Nugget, 1, Cloud Mica Whetstone, 1, null, null, null, null, null, null, null, null, Wind Crystal, 5, Fire Crystal, 5),
