(1, 1, null, null, ../../assets/recipe-icons/blacksmith/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(375, 64, 273, null, ../../assets/recipe-icons/blacksmith/doman-iron-glaives.png, Doman Iron Glaives, 1, Oroshigane Ingot, 2, Durium Nugget, 1, Koppranickel Nugget, 1, Slate Whetstone, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(376, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-halfheart-saw.png, Doman Iron Halfheart Saw, 1, Oroshigane Ingot, 2, Tiger Leather, 1, Durium Nugget, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(377, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-lump-hammer.png, Doman Iron Lump Hammer, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Durium Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(378, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-raising-hammer.png, Doman Iron Raising Hammer, 1, Oroshigane Ingot, 3, Pine Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(379, 64, 220, null, ../../assets/recipe-icons/blacksmith/durium-texture-hammer.png, Durium Texture Hammer, 1, Oroshigane Ingot, 1, Durium Nugget, 2, Pine Lumber, 1, Mormorion, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(380, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-head-knife.png, Doman Iron Head Knife, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(381, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-pickaxe.png, Doman Iron Pickaxe, 1, Oroshigane Ingot, 3, Pine Lumber, 1, High Steel Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(382, 64, 220, null, ../../assets/recipe-icons/blacksmith/doman-iron-hatchet.png, Doman Iron Hatchet, 1, Oroshigane Ingot, 3, Pine Lumber, 1, Gyuki Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 3),
(383, 65, 273, null, ../../assets/recipe-icons/blacksmith/doman-iron-greatsword.png, Doman Iron Greatsword, 1, Oroshigane Ingot, 3, Durium Nugget, 1, Larch Lumber, 1, Gyuki Leather, 1, Beetle Glue, 1, null, null, Fire Crystal, 4, Earth Crystal, 4),
(384, 65, 273, null, ../../assets/recipe-icons/blacksmith/doman-iron-uchigatana.png, Doman Iron Uchigatana, 1, Oroshigane Ingot, 3, Larch Lumber, 1, Kudzu Cloth, 1, Koppranickel Nugget, 1, Slate Whetstone, 1, null, null, Fire Crystal, 4, Earth Crystal, 4),
(385, 65, 273, null, ../../assets/recipe-icons/blacksmith/doman-iron-daggers.png, Doman Iron Daggers, 1, Oroshigane Ingot, 3, Durium Nugget, 1, Ruby Cotton Cloth, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(386, 65, 273, null, ../../assets/recipe-icons/blacksmith/doman-iron-culverin.png, Doman Iron Culverin, 1, Oroshigane Ingot, 3, Durium Nugget, 1, Larch Lumber, 1, Black Firesand, 1, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(387, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-claw-hammer.png, Doman Iron Claw Hammer, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(388, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-file.png, Doman Iron File, 1, Oroshigane Ingot, 2, Tiger Leather, 1, null, null, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(389, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-pliers.png, Doman Iron Pliers, 1, Oroshigane Ingot, 3, High Steel Nugget, 1, null, null, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(390, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-awl.png, Doman Iron Awl, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Ruby Cotton Cloth, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(391, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-mortar.png, Doman Iron Mortar, 1, Oroshigane Ingot, 2, Pine Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(392, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-culinary-knife.png, Doman Iron Culinary Knife, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(393, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-sledgehammer.png, Doman Iron Sledgehammer, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(394, 65, 230, null, ../../assets/recipe-icons/blacksmith/doman-iron-scythe.png, Doman Iron Scythe, 1, Oroshigane Ingot, 2, Pine Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 4, Earth Crystal, 4),
(395, 66, null, null, ../../assets/recipe-icons/blacksmith/tama-hagane-ingot.png, Tama-hagane Ingot, 1, Doman Iron Sand, 4, Oroshigane Ingot, 1, null, null, null, null, null, null, null, null, Fire Crystal, 5, null, null),
(396, 66, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-longsword.png, Doman Steel Longsword, 1, Tama-hagane Ingot, 2, Durium Ingot, 1, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(397, 66, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-battleaxe.png, Doman Steel Battleaxe, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Marid Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(398, 66, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-gunblade.png, Doman Steel Gunblade, 1, Tama-hagane Ingot, 2, Durium Ingot, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(399, 66, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-patas.png, Doman Steel Patas, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Oroshigane Ingot, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(400, 66, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-war-quoits.png, Doman Steel War Quoits, 1, Tama-hagane Ingot, 2, Durium Ingot, 1, Marid Leather, 1, Slate Whetstone, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(401, 66, 245, null, ../../assets/recipe-icons/blacksmith/doman-steel-saw.png, Doman Steel Saw, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Oroshigane Ingot, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(402, 66, 245, null, ../../assets/recipe-icons/blacksmith/doman-steel-cross-pein-hammer.png, Doman Steel Cross-pein Hammer, 1, Tama-hagane Ingot, 3, Marid Leather, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(403, 66, 245, null, ../../assets/recipe-icons/blacksmith/doman-steel-raising-hammer.png, Doman Steel Raising Hammer, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Marid Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(404, 66, 245, null, ../../assets/recipe-icons/blacksmith/durium-lapidary-hammer.png, Durium Lapidary Hammer, 1, Tama-hagane Ingot, 1, Durium Ingot, 2, Persimmon Lumber, 1, Opal, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(405, 66, 245, null, ../../assets/recipe-icons/blacksmith/doman-steel-round-knife.png, Doman Steel Round Knife, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Marid Leather, 1, Slate Whetstone, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(406, 66, 245, null, ../../assets/recipe-icons/blacksmith/plumed-doman-steel-pickaxe.png, Plumed Doman Steel Pickaxe, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Kudzu Cloth, 1, Wildfowl Feather, 1, Beetle Glue, 1, null, null, Fire Crystal, 5, Earth Crystal, 4),
(407, 66, 245, null, ../../assets/recipe-icons/blacksmith/doman-steel-hatchet.png, Doman Steel Hatchet, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Eagle Feather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(408, 67, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-greatsword.png, Doman Steel Greatsword, 1, Tama-hagane Ingot, 3, Durium Ingot, 1, Tiger Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(409, 67, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-tachi.png, Doman Steel Tachi, 1, Tama-hagane Ingot, 3, Persimmon Lumber, 1, Durium Nugget, 1, Tiger Leather, 1, Slate Whetstone, 1, null, null, Fire Crystal, 5, Earth Crystal, 4),
(410, 67, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-main-gauches.png, Doman Steel Main Gauches, 1, Tama-hagane Ingot, 2, Durium Ingot, 2, Tiger Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(411, 67, 279, null, ../../assets/recipe-icons/blacksmith/doman-steel-barreled-musketoon.png, Doman Steel-barreled Musketoon, 1, Tama-hagane Ingot, 2, Durium Ingot, 1, Persimmon Lumber, 1, Oroshigane Ingot, 1, Black Firesand, 1, null, null, Fire Crystal, 5, Earth Crystal, 4),
(412, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-claw-hammer.png, Doman Steel Claw Hammer, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(413, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-file.png, Doman Steel File, 1, Tama-hagane Ingot, 2, Marid Leather, 1, null, null, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(414, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-pliers.png, Doman Steel Pliers, 1, Tama-hagane Ingot, 3, Oroshigane Ingot, 1, null, null, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(415, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-awl.png, Doman Steel Awl, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Kudzu Cloth, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(416, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-mortar.png, Doman Steel Mortar, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(417, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-culinary-knife.png, Doman Steel Culinary Knife, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(418, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-sledgehammer.png, Doman Steel Sledgehammer, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(419, 67, 260, null, ../../assets/recipe-icons/blacksmith/doman-steel-scythe.png, Doman Steel Scythe, 1, Tama-hagane Ingot, 2, Persimmon Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 4),
(420, 68, null, null, ../../assets/recipe-icons/blacksmith/molybdenum-ingot.png, Molybdenum Ingot, 1, Molybdenum Ore, 4, Cobalt Ore, 1, null, null, null, null, null, null, null, null, Fire Crystal, 5, null, null),
(421, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-longsword.png, Molybdenum Longsword, 1, Molybdenum Ingot, 2, Tama-hagane Ingot, 1, Durium Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(422, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-war-axe.png, Molybdenum War Axe, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Marid Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(423, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-longblade.png, Molybdenum Longblade, 1, Molybdenum Ingot, 3, Tama-hagane Ingot, 1, Durium Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(424, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-gunblade.png, Molybdenum Gunblade, 1, Molybdenum Ingot, 2, Palladium Nugget, 1, Zelkova Lumber, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(425, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-knuckles.png, Molybdenum Knuckles, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Durium Nugget, 2, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(426, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-uchigatana.png, Molybdenum Uchigatana, 1, Molybdenum Ingot, 3, Zelkova Lumber, 1, Tiger Leather, 1, Durium Ingot, 1, Slate Whetstone, 1, null, null, Fire Crystal, 5, Earth Crystal, 5),
(427, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-daggers.png, Molybdenum Daggers, 1, Molybdenum Ingot, 2, Gazelle Leather, 1, Durium Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(428, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-rimfire.png, Molybdenum Rimfire, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Marid Leather, 1, Black Firesand, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(429, 68, 285, null, ../../assets/recipe-icons/blacksmith/molybdenum-chakrams.png, Molybdenum Chakrams, 1, Molybdenum Ingot, 2, Palladium Nugget, 1, Hardsilver Nugget, 1, Slate Whetstone, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(430, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-halfheart-saw.png, Molybdenum Halfheart Saw, 1, Molybdenum Ingot, 3, Gazelle Leather, 1, Durium Nugget, 1, null, null, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(431, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-lump-hammer.png, Molybdenum Lump Hammer, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Palladium Nugget, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(432, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-ball-pein-hammer.png, Molybdenum Ball-pein Hammer, 1, Molybdenum Ingot, 2, Tama-hagane Ingot, 2, Gazelle Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(433, 69, 290, null, ../../assets/recipe-icons/blacksmith/palladium-texture-hammer.png, Palladium Texture Hammer, 1, Molybdenum Ingot, 1, Palladium Nugget, 2, Zelkova Lumber, 1, Star Spinel, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(434, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-creasing-knife.png, Molybdenum Creasing Knife, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Durium Nugget, 1, Slate Whetstone, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(435, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-pickaxe.png, Molybdenum Pickaxe, 1, Molybdenum Ingot, 3, Zelkova Lumber, 1, Tama-hagane Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(436, 69, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-hatchet.png, Molybdenum Hatchet, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Gazelle Leather, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 5, Earth Crystal, 5),
(437, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-claw-hammer.png, Molybdenum Claw Hammer, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(438, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-file.png, Molybdenum File, 1, Molybdenum Ingot, 2, Gazelle Leather, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(439, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-pliers.png, Molybdenum Pliers, 1, Molybdenum Ingot, 3, Tama-hagane Ingot, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(440, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-awl.png, Molybdenum Awl, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Steppe Serge, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(441, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-mortar.png, Molybdenum Mortar, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(442, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-culinary-knife.png, Molybdenum Culinary Knife, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(443, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-sledgehammer.png, Molybdenum Sledgehammer, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Beetle Glue, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(444, 70, 290, null, ../../assets/recipe-icons/blacksmith/molybdenum-scythe.png, Molybdenum Scythe, 1, Molybdenum Ingot, 2, Zelkova Lumber, 1, Slate Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(445, 71, null, null, ../../assets/recipe-icons/blacksmith/deepgold-nugget.png, Deepgold Nugget, 1, Truegold Sand, 4, Copper Ore, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, null, null),
(446, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-anelace.png, Deepgold Anelace, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(447, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-battleaxe.png, Deepgold Battleaxe, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, White Oak Lumber, 1, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, Fire Crystal, 6, Earth Crystal, 5),
(448, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-claymore.png, Deepgold Claymore, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, White Oak Lumber, 1, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, Fire Crystal, 6, Earth Crystal, 5),
(449, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-gunblade.png, Deepgold Gunblade, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, Oroshigane Ingot, 2, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(450, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-katars.png, Deepgold Katars, 1, Deepgold Nugget, 2, Stonegold Nugget, 2, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(451, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-blade.png, Deepgold Blade, 1, Deepgold Nugget, 3, Stonegold Nugget, 1, Twinthread, 1, Hard Mudstone Whetstone, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(452, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-cinquedeas.png, Deepgold Cinquedeas, 1, Deepgold Nugget, 2, Stonegold Nugget, 2, Oroshigane Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(453, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-revolver.png, Deepgold Revolver, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, Oroshigane Ingot, 1, Crimson Firesand, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(454, 71, 385, null, ../../assets/recipe-icons/blacksmith/deepgold-war-quoits.png, Deepgold War Quoits, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, Smilodon Leather, 1, Beetle Glue, 1, Hard Mudstone Whetstone, 1, null, null, Fire Crystal, 6, Earth Crystal, 5),
(455, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-saw.png, Deepgold Saw, 1, Deepgold Nugget, 3, White Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(456, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-claw-hammer.png, Deepgold Claw Hammer, 1, Deepgold Nugget, 2, White Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(457, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-cross-pein-hammer.png, Deepgold Cross-pein Hammer, 1, Deepgold Nugget, 2, White Oak Lumber, 1, Smilodon Leather, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(458, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-file.png, Deepgold File, 1, Deepgold Nugget, 2, Bright Linen Cloth, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(459, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-raising-hammer.png, Deepgold Raising Hammer, 1, Deepgold Nugget, 3, White Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(460, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-pliers.png, Deepgold Pliers, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(461, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-lapidary-hammer.png, Deepgold Lapidary Hammer, 1, Deepgold Nugget, 1, Stonegold Nugget, 2, White Oak Lumber, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(462, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-head-knife.png, Deepgold Head Knife, 1, Deepgold Nugget, 1, Stonegold Nugget, 1, White Oak Lumber, 1, Hard Mudstone Whetstone, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(463, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-awl.png, Deepgold Awl, 1, Deepgold Nugget, 2, White Oak Lumber, 1, Bright Linen Yarn, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(464, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-mortar.png, Deepgold Mortar, 1, Deepgold Nugget, 2, White Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(465, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-culinary-knife.png, Deepgold Culinary Knife, 1, Deepgold Nugget, 2, White Oak Lumber, 1, Hard Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(466, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-pickaxe.png, Deepgold Pickaxe, 1, Deepgold Nugget, 2, White Oak Lumber, 1, Smilodon Leather, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(467, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-sledgehammer.png, Deepgold Sledgehammer, 1, Deepgold Nugget, 2, White Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(468, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-hatchet.png, Deepgold Hatchet, 1, Deepgold Nugget, 2, Stonegold Nugget, 1, White Oak Lumber, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(469, 71, 330, null, ../../assets/recipe-icons/blacksmith/deepgold-scythe.png, Deepgold Scythe, 1, Deepgold Nugget, 2, White Oak Lumber, 1, Hard Mudstone Whetstone, 1, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 5),
(470, 72, null, null, ../../assets/recipe-icons/blacksmith/deepgold-ingot.png, Deepgold Ingot, 1, Truegold Ore, 4, Copper Ore, 1, null, null, null, null, null, null, null, null, Fire Crystal, 6, null, null),
(471, 72, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-sword.png, Deepgold Sword, 1, Deepgold Ingot, 2, Stonegold Ingot, 1, Cobalt Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 6),
(472, 72, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-axe.png, Deepgold Axe, 1, Deepgold Ingot, 3, Stonegold Ingot, 1, Dark Chestnut Lumber, 1, Cobalt Ingot, 1, Beetle Glue, 1, null, null, Fire Crystal, 6, Earth Crystal, 6),
(473, 72, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-greatsword.png, Deepgold Greatsword, 1, Deepgold Ingot, 3, Stonegold Ingot, 1, Dark Chestnut Lumber, 1, Cobalt Ingot, 1, Beetle Glue, 1, null, null, Fire Crystal, 6, Earth Crystal, 6),
(474, 72, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-uchigatana.png, Deepgold Uchigatana, 1, Deepgold Ingot, 3, Stonegold Ingot, 1, Cobalt Ingot, 1, Hard Mudstone Whetstone, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 6),
(475, 72, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-daggers.png, Deepgold Daggers, 1, Deepgold Ingot, 3, Stonegold Ingot, 1, Electrum Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 6),
(476, 73, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-bayonet.png, Deepgold Bayonet, 1, Deepgold Ingot, 2, Stonegold Ingot, 1, Cobalt Ingot, 2, null, null, null, null, null, null, Fire Crystal, 6, Earth Crystal, 6),
(477, 73, 395, null, ../../assets/recipe-icons/blacksmith/deepgold-knuckles.png, Deepgold Knuckles, 1, Deepgold Ingot, 3, Stonegold Ingot, 1, Electrum Ingot, 1, Beetle Glue, 1, null, null, null, null, Fire Crystal, 6, Earth Crystal, 6),
