(1, 1, null, null, ../../assets/recipe-icons/weaver/hempen-yarn.png, Hempen Yarn, 2, Moko Grass, 2, null, null, null, null, null, null, null, null, null, null, Lightning Shard, 1, null, null),
(245, 47, 49, null, ../../assets/recipe-icons/weaver/felt-cavalier's-hat.png, Felt Cavalier's Hat, 1, Undyed Felt, 1, Woolen Yarn, 1, Chocobo Feather, 1, Mythril Ingot, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 5),
(246, 47, 49, null, ../../assets/recipe-icons/weaver/altered-felt-hat.png, Altered Felt Hat, 1, Undyed Felt, 1, Woolen Yarn, 1, Chocobo Feather, 1, Mythril Ingot, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 5),
(247, 47, 49, null, ../../assets/recipe-icons/weaver/padded-woolen-trousers.png, Padded Woolen Trousers, 1, Undyed Woolen Cloth, 1, Woolen Yarn, 1, Raptor Leather, 1, Raptor Sinew, 1, Cobalt Rivets, 1, null, null, Lightning Shard, 6, Wind Shard, 5),
(248, 47, 49, null, ../../assets/recipe-icons/weaver/woolen-trousers-of-fending.png, Woolen Trousers of Fending, 1, Undyed Woolen Cloth, 1, Woolen Yarn, 1, Raptor Leather, 1, Raptor Sinew, 1, Cobalt Rivets, 1, null, null, Lightning Shard, 6, Wind Shard, 5),
(249, 47, 49, null, ../../assets/recipe-icons/weaver/felt-gaskins.png, Felt Gaskins, 1, Undyed Felt, 1, Woolen Yarn, 1, Boar Leather, 2, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 5),
(250, 47, 49, null, ../../assets/recipe-icons/weaver/felt-breeches.png, Felt Breeches, 1, Undyed Felt, 1, Woolen Yarn, 1, Boar Leather, 2, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 5),
(251, 47, 50, null, ../../assets/recipe-icons/weaver/vintage-robe.png, Vintage Robe, 1, Tattered Robe, 1, Linen Yarn, 1, Jadeite, 1, Boar Leather, 1, Diremite Sinew, 1, null, null, Lightning Crystal, 1, null, null),
(252, 48, 49, null, ../../assets/recipe-icons/weaver/felt-bliaud.png, Felt Bliaud, 1, Undyed Felt, 3, Woolen Yarn, 1, Boar Leather, 1, Raptor Sinew, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(253, 48, 49, null, ../../assets/recipe-icons/weaver/altered-felt-robe.png, Altered Felt Robe, 1, Undyed Felt, 3, Woolen Yarn, 1, Boar Leather, 1, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(254, 48, 49, null, ../../assets/recipe-icons/weaver/felt-dress-gloves.png, Felt Dress Gloves, 1, Undyed Felt, 2, Woolen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(255, 48, 49, null, ../../assets/recipe-icons/weaver/felt-gloves.png, Felt Gloves, 1, Undyed Felt, 2, Woolen Yarn, 2, null, null, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(256, 48, 50, null, ../../assets/recipe-icons/weaver/felt-trousers.png, Felt Trousers, 1, Undyed Felt, 1, Woolen Yarn, 1, Raptor Leather, 1, Raptor Sinew, 1, Cobalt Rivets, 1, null, null, Lightning Shard, 6, Wind Shard, 6),
(257, 49, 49, null, ../../assets/recipe-icons/weaver/woolen-bandana.png, Woolen Bandana, 1, Undyed Woolen Cloth, 2, Cobalt Ingot, 2, null, null, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(258, 50, 50, null, ../../assets/recipe-icons/weaver/patrician's-wedge-cap.png, Patrician's Wedge Cap, 1, Undyed Felt, 2, Woolen Yarn, 1, Linen Yarn, 1, Electrum Ingot, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(259, 50, 50, null, ../../assets/recipe-icons/weaver/patrician's-coatee.png, Patrician's Coatee, 1, Undyed Felt, 2, Woolen Yarn, 2, Linen Yarn, 1, Electrum Ingot, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(260, 50, 50, null, ../../assets/recipe-icons/weaver/patrician's-gloves.png, Patrician's Gloves, 1, Undyed Felt, 2, Woolen Yarn, 1, Linen Yarn, 1, null, null, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(261, 50, 50, null, ../../assets/recipe-icons/weaver/patrician's-bottoms.png, Patrician's Bottoms, 1, Undyed Felt, 1, Undyed Woolen Cloth, 1, Woolen Yarn, 1, Linen Yarn, 1, Electrum Ingot, 1, null, null, Lightning Shard, 6, Wind Shard, 6),
(262, 50, 50, null, ../../assets/recipe-icons/weaver/patrician's-gaiters.png, Patrician's Gaiters, 1, Undyed Felt, 2, Woolen Yarn, 1, Linen Yarn, 1, Rubber, 1, null, null, null, null, Lightning Shard, 6, Wind Shard, 6),
(263, 50, null, null, ../../assets/recipe-icons/weaver/wind-up-qiqirn.png, Wind-up Qiqirn, 1, Vanya Silk, 1, Silk Thread, 1, Chocobo Feather, 1, null, null, null, null, null, null, Lightning Shard, 99, null, null),
(264, 50, null, null, ../../assets/recipe-icons/weaver/wind-up-aldgoat.png, Wind-up Aldgoat, 1, Vanya Silk, 1, Silk Thread, 1, Chocobo Feather, 1, null, null, null, null, null, null, Lightning Shard, 99, null, null),
(265, 50 , null, null, ../../assets/recipe-icons/weaver/silk-thread.png, Silk Thread, 2, Silkworm Cocoon, 2, Effervescent Water, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, null, null),
(266, 50 , null, null, ../../assets/recipe-icons/weaver/jute-yarn.png, Jute Yarn, 1, Jute, 3, null, null, null, null, null, null, null, null, null, null, Lightning Crystal, 3, null, null),
(267, 50 , 55, null, ../../assets/recipe-icons/weaver/imperial-operative-hat.png, Imperial Operative Hat, 1, Undyed Woolen Cloth, 2, Silk Thread, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(268, 50 , 55, null, ../../assets/recipe-icons/weaver/militia-hat.png, Militia Hat, 1, Undyed Woolen Cloth, 2, Silk Thread, 1, Chocobo Feather, 1, Silver Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(269, 50 , 1, null, ../../assets/recipe-icons/weaver/coronal-straw-hat.png, Coronal Straw Hat, 1, Straw, 1, Trillium, 1, Chamomile, 1, Carnation, 1, Silk Thread, 1, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(270, 50 , 1, null, ../../assets/recipe-icons/weaver/moonfire-hat.png, Moonfire Hat, 1, Mariner Cotton Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(271, 50 , 55, null, ../../assets/recipe-icons/weaver/imperial-operative-dalmatica.png, Imperial Operative Dalmatica, 1, Undyed Woolen Cloth, 2, Silk Thread, 2, Raptor Sinew, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(272, 50 , 55, null, ../../assets/recipe-icons/weaver/militia-robe.png, Militia Robe, 1, Undyed Woolen Cloth, 3, Silk Thread, 2, Electrum Ingot, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(273, 50 , 1, null, ../../assets/recipe-icons/weaver/sailor-shirt.png, Sailor Shirt, 1, Mariner Cotton Cloth, 2, Boar Leather, 1, Undyed Velveteen, 1, Silk Thread, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(274, 50 , 1, null, ../../assets/recipe-icons/weaver/moonfire-vest.png, Moonfire Vest, 1, Mariner Cotton Cloth, 3, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(275, 50 , 1, null, ../../assets/recipe-icons/weaver/moonfire-halter.png, Moonfire Halter, 1, Mariner Cotton Cloth, 3, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(276, 50 , 55, null, ../../assets/recipe-icons/weaver/militia-trousers.png, Militia Trousers, 1, Undyed Woolen Cloth, 1, Silk Thread, 1, Dodore Leather, 1, Raptor Sinew, 1, Darksteel Rivets, 1, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(277, 50 , 55, null, ../../assets/recipe-icons/weaver/militia-tights.png, Militia Tights, 1, Undyed Woolen Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(278, 50 , 1, null, ../../assets/recipe-icons/weaver/sailor-brais.png, Sailor Brais, 1, Mariner Cotton Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(279, 50 , 1, null, ../../assets/recipe-icons/weaver/moonfire-trunks.png, Moonfire Trunks, 1, Mariner Cotton Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(280, 50 , 1, null, ../../assets/recipe-icons/weaver/moonfire-tanga.png, Moonfire Tanga, 1, Mariner Cotton Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(281, 50 , 55, null, ../../assets/recipe-icons/weaver/carpenter's-hood.png, Carpenter's Hood, 1, Undyed Woolen Cloth, 2, Silk Thread, 1, Rosewood Branch, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(282, 50 , 55, null, ../../assets/recipe-icons/weaver/weaver's-gibus.png, Weaver's Gibus, 1, Undyed Woolen Cloth, 1, Silk Thread, 2, Chocobo Feather, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(283, 50 , 55, null, ../../assets/recipe-icons/weaver/culinarian's-hat.png, Culinarian's Hat, 1, Rose Gold Nugget, 1, Undyed Felt, 1, Silk Thread, 1, Undyed Linen, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(284, 50 , 55, null, ../../assets/recipe-icons/weaver/hamlet-cutter's-hat.png, Hamlet Cutter's Hat, 1, Undyed Woolen Cloth, 1, Silk Thread, 1, Hippogryph Leather, 1, Silver Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(285, 50 , 55, null, ../../assets/recipe-icons/weaver/carpenter's-gown.png, Carpenter's Gown, 1, Undyed Felt, 3, Undyed Woolen Cloth, 2, Silk Thread, 2, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(286, 50 , 55, null, ../../assets/recipe-icons/weaver/armorer's-gown.png, Armorer's Gown, 1, Undyed Felt, 3, Boar Leather, 3, Silk Thread, 2, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(287, 50 , 55, null, ../../assets/recipe-icons/weaver/goldsmith's-doublet.png, Goldsmith's Doublet, 1, Undyed Felt, 2, Silk Thread, 1, Electrum Ingot, 2, Tourmaline, 1, Turquoise, 1, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(288, 50 , 55, null, ../../assets/recipe-icons/weaver/weaver's-swallowtail.png, Weaver's Swallowtail, 1, Undyed Woolen Cloth, 2, Silk Thread, 1, Rose Gold Nugget, 1, Hippogryph Leather, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(289, 50 , 55, null, ../../assets/recipe-icons/weaver/alchemist's-coat.png, Alchemist's Coat, 1, Undyed Felt, 2, Undyed Woolen Cloth, 2, Silk Thread, 1, Rose Gold Nugget, 2, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(290, 50 , 55, null, ../../assets/recipe-icons/weaver/culinarian's-apron.png, Culinarian's Apron, 1, Undyed Felt, 2, Undyed Woolen Cloth, 2, Silk Thread, 1, Darksteel Nugget, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(291, 50 , 55, null, ../../assets/recipe-icons/weaver/alchemist's-gloves.png, Alchemist's Gloves, 1, Undyed Felt, 2, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(292, 50 , 55, null, ../../assets/recipe-icons/weaver/culinarian's-mitts.png, Culinarian's Mitts, 1, Undyed Felt, 1, Undyed Woolen Cloth, 1, Silk Thread, 1, Hippogryph Sinew, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(293, 50 , 55, null, ../../assets/recipe-icons/weaver/botanist's-gloves.png, Botanist's Gloves, 1, Undyed Felt, 2, Silk Thread, 2, Hippogryph Sinew, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(294, 50 , 55, null, ../../assets/recipe-icons/weaver/blacksmith's-slops.png, Blacksmith's Slops, 1, Undyed Felt, 4, Silk Thread, 1, Darksteel Nugget, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(295, 50 , 55, null, ../../assets/recipe-icons/weaver/armorer's-slops.png, Armorer's Slops, 1, Undyed Felt, 3, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(296, 50 , 55, null, ../../assets/recipe-icons/weaver/goldsmith's-trousers.png, Goldsmith's Trousers, 1, Undyed Felt, 3, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(297, 50 , 55, null, ../../assets/recipe-icons/weaver/leatherworker's-trousers.png, Leatherworker's Trousers, 1, Undyed Felt, 2, Rose Gold Nugget, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(298, 50 , 55, null, ../../assets/recipe-icons/weaver/weaver's-trousers.png, Weaver's Trousers, 1, Undyed Woolen Cloth, 1, Silk Thread, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(299, 50 , 55, null, ../../assets/recipe-icons/weaver/alchemist's-trousers.png, Alchemist's Trousers, 1, Undyed Felt, 2, Hippogryph Leather, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(300, 50 , 55, null, ../../assets/recipe-icons/weaver/culinarian's-trousers.png, Culinarian's Trousers, 1, Undyed Felt, 3, Undyed Woolen Cloth, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(301, 50 , 55, null, ../../assets/recipe-icons/weaver/botanist's-slops.png, Botanist's Slops, 1, Undyed Felt, 3, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(302, 50 , 55, null, ../../assets/recipe-icons/weaver/fisher's-gaskins.png, Fisher's Gaskins, 1, Undyed Felt, 2, Silk Thread, 1, Hippogryph Leather, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(303, 50 , null, null, ../../assets/recipe-icons/weaver/vanya-silk.png, Vanya Silk, 1, Silk Thread, 2, Potash, 9, null, null, null, null, null, null, null, null, Lightning Cluster, 1, null, null),
(304, 50 , null, null, ../../assets/recipe-icons/weaver/vanya-silk-robe-lining.png, Vanya Silk Robe Lining, 1, Vanya Silk, 1, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(305, 50 , null, null, ../../assets/recipe-icons/weaver/vanya-silk-crakow-lining.png, Vanya Silk Crakow Lining, 1, Vanya Silk, 1, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(306, 50 , null, null, ../../assets/recipe-icons/weaver/vanya-silk-glove-lining.png, Vanya Silk Glove Lining, 1, Vanya Silk, 1, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(307, 50 , null, null, ../../assets/recipe-icons/weaver/vanya-silk-hat-lining.png, Vanya Silk Hat Lining, 1, Vanya Silk, 1, Silk Thread, 2, null, null, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(308, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-hat-of-casting.png, Vanya Hat of Casting, 1, Vanya Silk Hat Lining, 1, Silk Thread, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(309, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-hat-of-healing.png, Vanya Hat of Healing, 1, Vanya Silk Hat Lining, 1, Silk Thread, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(310, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-robe-of-casting.png, Vanya Robe of Casting, 1, Vanya Silk Robe Lining, 1, Silk Thread, 2, Rose Gold Nugget, 1, Silver Ingot, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(311, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-robe-of-healing.png, Vanya Robe of Healing, 1, Vanya Silk Robe Lining, 1, Silk Thread, 2, Rose Gold Nugget, 1, Silver Ingot, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(312, 50 , 1, null, ../../assets/recipe-icons/weaver/taffeta-shawl.png, Taffeta Shawl, 1, Taffeta Cloth, 1, Silk Thread, 1, Rose Gold Ingot, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(313, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-gloves-of-casting.png, Vanya Gloves of Casting, 1, Vanya Silk Glove Lining, 1, Silk Thread, 1, Rose Gold Nugget, 1, Silver Ingot, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(314, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-gloves-of-healing.png, Vanya Gloves of Healing, 1, Vanya Silk Glove Lining, 1, Silk Thread, 1, Rose Gold Nugget, 1, Silver Ingot, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(315, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-sash-of-casting.png, Vanya Sash of Casting, 1, Garlean Fiber, 1, Vanya Silk, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(316, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-sash-of-healing.png, Vanya Sash of Healing, 1, Garlean Fiber, 1, Vanya Silk, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(317, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-trousers.png, Vanya Trousers, 1, Vanya Silk, 1, Silk Thread, 1, Hippogryph Leather, 1, Raptor Sinew, 1, Darksteel Nugget, 1, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(318, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-breeches-of-casting.png, Vanya Breeches of Casting, 1, Vanya Silk, 1, Undyed Felt, 1, Silk Thread, 1, Hippogryph Leather, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(319, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-breeches-of-healing.png, Vanya Breeches of Healing, 1, Vanya Silk, 1, Undyed Felt, 1, Silk Thread, 1, Hippogryph Leather, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(320, 50 , 1, null, ../../assets/recipe-icons/weaver/taffeta-loincloth.png, Taffeta Loincloth, 1, Taffeta Cloth, 1, Hard Hippogryph Leather, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(321, 50 , 70, null, ../../assets/recipe-icons/weaver/vanya-crakows.png, Vanya Crakows, 1, Vanya Silk Crakow Lining, 1, Silk Thread, 1, Rose Gold Nugget, 1, Rubber, 1, null, null, null, null, Lightning Cluster, 1, Wind Cluster, 1),
(322, 50 , 1, null, ../../assets/recipe-icons/weaver/spring-straw-hat.png, Spring Straw Hat, 1, Halone Gerbera, 1, Straw, 1, Vanya Silk, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(323, 50 , 1, null, ../../assets/recipe-icons/weaver/cloche.png, Cloche, 1, Nymeia Lily, 1, Vanya Silk, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(324, 50 , 1, null, ../../assets/recipe-icons/weaver/spring-dress.png, Spring Dress, 1, Dress Material, 2, Vanya Silk, 1, Silk Thread, 1, Desert Saffron, 1, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(325, 50 , 1, null, ../../assets/recipe-icons/weaver/coronal-wristband.png, Coronal Wristband, 1, Azeyma Rose, 1, Vanya Silk, 1, null, null, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(326, 50 , 1, null, ../../assets/recipe-icons/weaver/spring-skirt.png, Spring Skirt, 1, Dress Material, 2, Vanya Silk, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(327, 50 , 1, null, ../../assets/recipe-icons/weaver/plain-long-skirt.png, Plain Long Skirt, 1, Dress Material, 1, Vanya Silk, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(328, 50 , 1, null, ../../assets/recipe-icons/weaver/spring-dress-shoes.png, Spring Dress Shoes, 1, Dress Material, 1, Hard Hippogryph Leather, 1, Silk Thread, 1, null, null, null, null, null, null, Lightning Cluster, 2, Wind Cluster, 1),
(329, 50 , null, null, ../../assets/recipe-icons/weaver/plush-cushion.png, Plush Cushion, 1, Glazenut, 1, Jute Yarn, 1, Undyed Cotton Cloth, 1, Cotton Boll, 1, null, null, null, null, Lightning Shard, 99, null, null),
(330, 50 , null, null, ../../assets/recipe-icons/weaver/nana-bear.png, Nana Bear, 1, Arachne Web, 1, Cashmere Cloth, 1, Apkallu Down, 3, Silk Thread, 1, null, null, null, null, Lightning Shard, 99, null, null),
(331, 51, null, null, ../../assets/recipe-icons/weaver/rainbow-cloth.png, Rainbow Cloth, 1, Rainbow Thread, 2, Dew Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 2, null, null),
(332, 51, null, null, ../../assets/recipe-icons/weaver/rainbow-thread.png, Rainbow Thread, 2, Rainbow Cotton Boll, 3, Cotton Boll, 2, null, null, null, null, null, null, null, null, Lightning Crystal, 1, null, null),
(333, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-coif-of-scouting.png, Rainbow Coif of Scouting, 1, Rainbow Cloth, 2, Mythrite Nugget, 1, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(334, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-cap-of-aiming.png, Rainbow Cap of Aiming, 1, Rainbow Cloth, 3, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(335, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-cap-of-casting.png, Rainbow Cap of Casting, 1, Rainbow Cloth, 3, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(336, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-cap-of-healing.png, Rainbow Cap of Healing, 1, Rainbow Cloth, 3, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(337, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-bolero-of-striking.png, Rainbow Bolero of Striking, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, Electrum Ingot, 1, Spinel, 1, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(338, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-shirt-of-scouting.png, Rainbow Shirt of Scouting, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, Electrum Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(339, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-robe-of-aiming.png, Rainbow Robe of Aiming, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, Electrum Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(340, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-robe-of-casting.png, Rainbow Robe of Casting, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, Electrum Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(341, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-robe-of-healing.png, Rainbow Robe of Healing, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, Electrum Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(342, 51, 1, null, ../../assets/recipe-icons/weaver/rainbow-justaucorps.png, Rainbow Justaucorps, 1, Rainbow Cloth, 2, Sylphic Silk, 1, Rainbow Thread, 1, Electrum Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(343, 51, 1, null, ../../assets/recipe-icons/weaver/rainbow-bustle.png, Rainbow Bustle, 1, Rainbow Cloth, 2, Sylphic Silk, 1, Rainbow Thread, 1, Silver Ingot, 1, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(344, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-halfgloves-of-scouting.png, Rainbow Halfgloves of Scouting, 1, Rainbow Cloth, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(345, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-sash-of-scouting.png, Rainbow Sash of Scouting, 1, Rainbow Cloth, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(346, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-sash-of-aiming.png, Rainbow Sash of Aiming, 1, Rainbow Cloth, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(347, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-sash-of-casting.png, Rainbow Sash of Casting, 1, Rainbow Cloth, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(348, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-sash-of-healing.png, Rainbow Sash of Healing, 1, Rainbow Cloth, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(349, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-culottes-of-striking.png, Rainbow Culottes of Striking, 1, Rainbow Cloth, 2, Archaeornis Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(350, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-sarouel-of-scouting.png, Rainbow Sarouel of Scouting, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(351, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-slops-of-aiming.png, Rainbow Slops of Aiming, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(352, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-slops-of-casting.png, Rainbow Slops of Casting, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
(353, 51, 115, null, ../../assets/recipe-icons/weaver/rainbow-slops-of-healing.png, Rainbow Slops of Healing, 1, Rainbow Cloth, 3, Archaeornis Leather, 1, Rainbow Thread, 1, null, null, null, null, null, null, Lightning Crystal, 3, Wind Crystal, 2),
