(1, 1, null, null, ../../assets/recipe-icons/distilled-water.png, Distilled Water, 1, Muddy Water, 1, null, null, null, null, null, null, null, null, null, null, Water Shard, 1, null, null),
(207, 67, null, null, ../../assets/recipe-icons/cunning-craftsman's-tea.png, Cunning Craftsman's Tea, 3, Crescent Spring Water, 1, Gazelle Horn, 1, Windtea Leaves, 2, Fennel, 1, null, null, null, null, Water Crystal, 5, Lightning Crystal, 4),
(208, 68, null, null, ../../assets/recipe-icons/enchanted-palladium-ink.png, Enchanted Palladium Ink, 1, Palladium Sand, 3, Pine Resin, 1, Crescent Spring Water, 1, null, null, null, null, null, null, Water Crystal, 5, null, null),
(209, 68, 285, null, ../../assets/recipe-icons/gazelleskin-grimoire.png, Gazelleskin Grimoire, 1, Gazelle Leather, 2, Zelkova Lumber, 1, Durium Nugget, 1, Enchanted Palladium Ink, 1, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(210, 68, 285, null, ../../assets/recipe-icons/gazelleskin-codex.png, Gazelleskin Codex, 1, Gazelle Leather, 2, Zelkova Lumber, 1, Durium Nugget, 1, Enchanted Palladium Ink, 1, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(211, 69, null, null, ../../assets/recipe-icons/infusion-of-vitality.png, Infusion of Vitality, 3, Crescent Spring Water, 1, Ala Mhigan Salt Crystal, 1, Nagxian Cudweed, 2, Dusklight Aethersand, 1, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(212, 69, null, null, ../../assets/recipe-icons/infusion-of-mind.png, Infusion of Mind, 3, Crescent Spring Water, 1, Ala Mhigan Salt Crystal, 1, Nipplewort, 2, Dusklight Aethersand, 1, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(213, 70, null, null, ../../assets/recipe-icons/super-potion.png, Super-Potion, 3, Crescent Spring Water, 1, Alyssum, 1, Nagxian Cudweed, 1, Kudzu Root, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(214, 70, null, null, ../../assets/recipe-icons/super-ether.png, Super-Ether, 3, Crescent Spring Water, 1, Chickweed, 1, Nipplewort, 1, Kudzu Root, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(215, 70, null, null, ../../assets/recipe-icons/infusion-of-strength.png, Infusion of Strength, 3, Crescent Spring Water, 1, Ala Mhigan Salt Crystal, 1, Yanxian Parsley, 2, Dusklight Aethersand, 1, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(216, 70, null, null, ../../assets/recipe-icons/infusion-of-dexterity.png, Infusion of Dexterity, 3, Crescent Spring Water, 1, Ala Mhigan Salt Crystal, 1, Alyssum, 2, Dusklight Aethersand, 1, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(217, 70, null, null, ../../assets/recipe-icons/infusion-of-intelligence.png, Infusion of Intelligence, 3, Crescent Spring Water, 1, Ala Mhigan Salt Crystal, 1, Chickweed, 2, Dusklight Aethersand, 1, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(218, 71, null, null, ../../assets/recipe-icons/growth-formula-iota.png, Growth Formula Iota, 1, Hoptrap Leaf, 2, Silkmoth Scales, 2, Birch Sap, 1, null, null, null, null, null, null, Water Crystal, 6, null, null),
(219, 71, null, null, ../../assets/recipe-icons/enchanted-truegold-ink.png, Enchanted Truegold Ink, 1, Truegold Sand, 3, Silkmoth Scales, 1, Crescent Spring Water, 1, null, null, null, null, null, null, Water Crystal, 6, null, null),
(220, 71, null, null, ../../assets/recipe-icons/crimson-firesand.png, Crimson Firesand, 1, Coarse Saltpeter, 3, Brimstone, 3, Larch Log, 1, null, null, null, null, null, null, Water Crystal, 6, null, null),
(221, 71, 385, null, ../../assets/recipe-icons/smilodonskin-grimoire.png, Smilodonskin Grimoire, 1, Enchanted Truegold Ink, 1, Palladium Nugget, 2, White Oak Lumber, 1, Smilodon Leather, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(222, 71, 385, null, ../../assets/recipe-icons/smilodonskin-codex.png, Smilodonskin Codex, 1, Enchanted Truegold Ink, 1, Palladium Nugget, 2, White Oak Lumber, 1, Smilodon Leather, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 5),
(223, 72, 395, null, ../../assets/recipe-icons/gliderskin-grimoire.png, Gliderskin Grimoire, 1, Enchanted Truegold Ink, 1, Green Glider Leather, 1, Deepgold Ingot, 2, Electrum Ingot, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 6),
(224, 72, 395, null, ../../assets/recipe-icons/gliderskin-codex.png, Gliderskin Codex, 1, Enchanted Truegold Ink, 1, Green Glider Leather, 1, Deepgold Ingot, 2, Electrum Ingot, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 6),
(225, 72, null, null, ../../assets/recipe-icons/superior-spiritbond-potion.png, Superior Spiritbond Potion, 3, Highland Spring Water, 1, Purple Carrot, 1, Wolf Fang, 2, Garden Beet, 1, null, null, null, null, Water Crystal, 6, Lightning Crystal, 6),
(226, 73, null, null, ../../assets/recipe-icons/grade-1-strength-alkahest.png, Grade 1 Strength Alkahest, 3, Highland Spring Water, 1, Hoptrap Leaf, 1, Yanxian Parsley, 2, null, null, null, null, null, null, Water Crystal, 6, null, null),
(227, 73, null, null, ../../assets/recipe-icons/grade-1-dexterity-alkahest.png, Grade 1 Dexterity Alkahest, 3, Highland Spring Water, 1, Hoptrap Leaf, 1, Alyssum, 2, null, null, null, null, null, null, Water Crystal, 6, null, null),
(228, 73, null, null, ../../assets/recipe-icons/grade-1-vitality-alkahest.png, Grade 1 Vitality Alkahest, 3, Highland Spring Water, 1, Hoptrap Leaf, 1, Nagxian Cudweed, 2, null, null, null, null, null, null, Water Crystal, 6, null, null),
(229, 73, null, null, ../../assets/recipe-icons/grade-1-intelligence-alkahest.png, Grade 1 Intelligence Alkahest, 3, Highland Spring Water, 1, Hoptrap Leaf, 1, Chickweed, 2, null, null, null, null, null, null, Water Crystal, 6, null, null),
(230, 73, null, null, ../../assets/recipe-icons/grade-1-mind-alkahest.png, Grade 1 Mind Alkahest, 3, Highland Spring Water, 1, Hoptrap Leaf, 1, Nipplewort, 2, null, null, null, null, null, null, Water Crystal, 6, null, null),
(231, 74, null, null, ../../assets/recipe-icons/enchanted-manasilver-ink.png, Enchanted Manasilver Ink, 1, Manasilver Sand, 3, Silkmoth Scales, 1, Highland Spring Water, 1, null, null, null, null, null, null, Water Crystal, 7, null, null),
(232, 74, 403, null, ../../assets/recipe-icons/bluespirit-grimoire.png, Bluespirit Grimoire, 1, Enchanted Manasilver Ink, 1, Bluespirit Tile, 2, Manasilver Nugget, 1, Star Ruby, 1, Rose Gold Nugget, 1, null, null, Water Crystal, 7, Lightning Crystal, 6),
(233, 74, 403, null, ../../assets/recipe-icons/bluespirit-codex.png, Bluespirit Codex, 1, Enchanted Manasilver Ink, 1, Bluespirit Tile, 2, Manasilver Nugget, 1, Star Ruby, 1, Rose Gold Nugget, 1, null, null, Water Crystal, 7, Lightning Crystal, 6),
(234, 75, null, null, ../../assets/recipe-icons/starch-glue.png, Starch Glue, 1, Vampire Cup Vine, 2, Vampire Vine Sap, 2, null, null, null, null, null, null, null, null, Water Crystal, 7, null, null),
(235, 75, null, null, ../../assets/recipe-icons/competent-craftsman's-syrup.png, Competent Craftsman's Syrup, 3, Highland Spring Water, 1, Vampire Cup Vine, 2, Sweet Alyssum, 2, Kudzu Root, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 6),
(236, 76, null, null, ../../assets/recipe-icons/growth-formula-kappa.png, Growth Formula Kappa, 1, Hoptrap Leaf, 2, Vampire Vine Sap, 2, Underground Spring Water, 1, null, null, null, null, null, null, Water Crystal, 7, null, null),
(237, 76, null, null, ../../assets/recipe-icons/refined-natron.png, Refined Natron, 1, Extra Effervescent Water, 1, Ala Mhigan Salt Crystal, 1, null, null, null, null, null, null, null, null, Water Crystal, 7, null, null),
(238, 77, 409, null, ../../assets/recipe-icons/zonureskin-grimoire.png, Zonureskin Grimoire, 1, Enchanted Dimythrite Ink, 1, Zonure Leather, 2, Titanbronze Nugget, 1, Hardsilver Nugget, 1, Wildfowl Feather, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(239, 77, 409, null, ../../assets/recipe-icons/zonureskin-codex.png, Zonureskin Codex, 1, Enchanted Dimythrite Ink, 1, Zonure Leather, 2, Titanbronze Nugget, 1, Hardsilver Nugget, 1, Wildfowl Feather, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(240, 77, null, null, ../../assets/recipe-icons/commanding-craftsman's-syrup.png, Commanding Craftsman's Syrup, 3, Underground Spring Water, 1, Hydrozoan Umbrella, 2, Lime Basil, 2, Kudzu Root, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(241, 77, null, null, ../../assets/recipe-icons/cunning-craftsman's-syrup.png, Cunning Craftsman's Syrup, 3, Underground Spring Water, 1, Cubus Flesh, 2, Light Gerbera, 2, Kudzu Root, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(242, 78, null, null, ../../assets/recipe-icons/enchanted-dimythrite-ink.png, Enchanted Dimythrite Ink, 1, Dimythrite Sand, 3, Vampire Cup Vine, 1, Underground Spring Water, 1, null, null, null, null, null, null, Water Crystal, 7, null, null),
(243, 78, 415, null, ../../assets/recipe-icons/dwarven-mythril-grimoire.png, Dwarven Mythril Grimoire, 1, Enchanted Dimythrite Ink, 1, Dwarven Mythril Ingot, 2, Lignum Vitae Lumber, 1, Stonegold Ingot, 1, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(244, 78, 415, null, ../../assets/recipe-icons/dwarven-mythril-codex.png, Dwarven Mythril Codex, 1, Enchanted Dimythrite Ink, 1, Dwarven Mythril Ingot, 2, Lignum Vitae Lumber, 1, Stonegold Ingot, 1, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(245, 79, null, null, ../../assets/recipe-icons/tincture-of-vitality.png, Tincture of Vitality, 3, Underground Spring Water, 1, Hydrozoan Umbrella, 2, Lime Basil, 2, Chiaroglow Aethersand, 1, Scuroglow Aethersand, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(246, 79, null, null, ../../assets/recipe-icons/tincture-of-mind.png, Tincture of Mind, 3, Underground Spring Water, 1, Hydrozoan Umbrella, 2, Tiger Lily, 2, Chiaroglow Aethersand, 1, Scuroglow Aethersand, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(247, 80, null, null, ../../assets/recipe-icons/tincture-of-strength.png, Tincture of Strength, 3, Underground Spring Water, 1, Cubus Flesh, 2, Sweet Alyssum, 2, Chiaroglow Aethersand, 1, Scuroglow Aethersand, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(248, 80, null, null, ../../assets/recipe-icons/tincture-of-dexterity.png, Tincture of Dexterity, 3, Underground Spring Water, 1, Cubus Flesh, 2, Light Gerbera, 2, Chiaroglow Aethersand, 1, Scuroglow Aethersand, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(249, 80, null, null, ../../assets/recipe-icons/tincture-of-intelligence.png, Tincture of Intelligence, 3, Underground Spring Water, 1, Cubus Flesh, 2, Fernleaf Lavender, 2, Chiaroglow Aethersand, 1, Scuroglow Aethersand, 1, null, null, Water Crystal, 7, Lightning Crystal, 7),
(250, 80, null, null, ../../assets/recipe-icons/wanderer's-campfire.png, Wanderer's Campfire, 1, Grenade Ash, 4, Sandteak Log, 6, Volcanic Tuff, 4, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(251, 50 , null, Master Alchemist I, ../../assets/recipe-icons/spirits-of-salt.png, Spirits of Salt, 1, Volcanic Rock Salt, 2, Vitriol, 1, null, null, null, null, null, null, null, null, Water Shard, 11, Lightning Shard, 10),
(252, 50 , null, Master Alchemist I, ../../assets/recipe-icons/magitek-repair-materials.png, Magitek Repair Materials, 1, Dark Matter Cluster, 1, Grade 6 Dark Matter, 5, null, null, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(253, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-longsword.png, Giantsgall Longsword, 1, Mossy Stone Sword, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(254, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-war-axe.png, Giantsgall War Axe, 1, Mossy Stone Axe, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(255, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-guillotine.png, Giantsgall Guillotine, 1, Mossy Stone Greatsword, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(256, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-trident.png, Giantsgall Trident, 1, Mossy Stone Spear, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(257, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-claws.png, Giantsgall Claws, 1, Mossy Stone Claws, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(258, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-cleavers.png, Giantsgall Cleavers, 1, Mossy Stone Daggers, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(259, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-longbow.png, Giantsgall Longbow, 1, Mossy Stone Bow, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(260, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-knifelock.png, Giantsgall Knifelock, 1, Mossy Stone Cannon, 1, Diluted Vitriol, 9, Wyvern Obsidian, 2, Black Firesand, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(261, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-longstaff.png, Giantsgall Longstaff, 1, Mossy Stone Staff, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(262, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/cantamina-thavnaria.png, Cantamina Thavnaria, 1, Weathered Tome, 1, Enchanted Rose Gold Ink, 1, Hippogryph Leather, 1, Rose Gold Nugget, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(263, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-cane.png, Giantsgall Cane, 1, Mossy Stone Rod, 1, Diluted Vitriol, 9, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(264, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/medica-thavnaria.png, Medica Thavnaria, 1, Faded Tome, 1, Enchanted Rose Gold Ink, 1, Hippogryph Leather, 1, Rose Gold Nugget, 1, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(265, 50 , 70, Master Alchemist I, ../../assets/recipe-icons/giantsgall-star-globe.png, Giantsgall Star Globe, 1, Mossy Stone Globe, 1, Diluted Vitriol, 9, Enchanted Rose Gold Ink, 1, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(266, 50 , null, Master Alchemist I, ../../assets/recipe-icons/a-light-in-the-storm-orchestrion-roll.png, A Light in the Storm Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Gold Ink, 1, Faded Copy of A Light in the Storm, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(267, 50 , null, Master Alchemist I, ../../assets/recipe-icons/the-scars-of-battle-orchestrion-roll.png, The Scars of Battle Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Gold Ink, 1, Faded Copy of The Scars of Battle, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(268, 50 , null, Master Alchemist I, ../../assets/recipe-icons/battle-on-the-big-bridge-orchestrion-roll.png, Battle on the Big Bridge Orchestrion Roll, 1, Blank Grade 1 Orchestrion Roll, 1, Enchanted Gold Ink, 1, Faded Copy of Battle on the Big Bridge, 1, null, null, null, null, null, null, Water Crystal, 5, Lightning Crystal, 5),
(269, 50 , null, Master Alchemist I, ../../assets/recipe-icons/enchanted-platinum-ink.png, Enchanted Platinum Ink, 1, Platinum Ore, 1, Voidsent Blood, 1, Minium, 1, null, null, null, null, null, null, Water Cluster, 3, Lightning Cluster, 2),
(270, 50 , null, Master Alchemist I, ../../assets/recipe-icons/concentrated-spirits-of-salt.png, Concentrated Spirits of Salt, 1, Spirits of Salt, 1, Fieldcraft Demimateria III, 2, null, null, null, null, null, null, null, null, Water Shard, 12, Lightning Shard, 11),
(271, 50 , null, Master Alchemist I, ../../assets/recipe-icons/enchanted-quicksilver.png, Enchanted Quicksilver, 1, Black Cinnabar, 3, Raziqsand, 1, Tarantula, 2, null, null, null, null, null, null, Water Cluster, 3, Lightning Cluster, 2),
(272, 50 , null, Master Alchemist I, ../../assets/recipe-icons/perfect-pounce.png, Perfect Pounce, 1, Dried Ether, 1, Aetherlouse, 1, Electrum Sand, 1, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(273, 50 , null, Master Alchemist I, ../../assets/recipe-icons/terminus-putty.png, Terminus Putty, 3, Tawny Latex, 3, Filtered Water, 1, null, null, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(274, 50 , null, Master Alchemist I, ../../assets/recipe-icons/gallant-armor-augmentation.png, Gallant Armor Augmentation, 1, Terminus Putty, 1, Wolfram Square, 1, Wolfram Ingot, 1, Darksteel Ingot, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(275, 50 , null, Master Alchemist I, ../../assets/recipe-icons/temple-attire-augmentation.png, Temple Attire Augmentation, 1, Terminus Putty, 1, Saurian Leather, 1, Wolfram Ingot, 1, Hard Hippogryph Leather, 1, Darksteel Ingot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(276, 50 , null, Master Alchemist I, ../../assets/recipe-icons/fighter's-armor-augmentation.png, Fighter's Armor Augmentation, 1, Terminus Putty, 1, Wolfram Square, 1, Wolfram Ingot, 1, Darksteel Ingot, 2, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(277, 50 , null, Master Alchemist I, ../../assets/recipe-icons/drachen-armor-augmentation.png, Drachen Armor Augmentation, 1, Terminus Putty, 1, Wolfram Square, 1, Ancient Lumber, 1, Darksteel Ingot, 1, Treated Spruce Lumber, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(278, 50 , null, Master Alchemist I, ../../assets/recipe-icons/choral-attire-augmentation.png, Choral Attire Augmentation, 1, Terminus Putty, 1, Saurian Leather, 1, Ancient Lumber, 1, Hard Hippogryph Leather, 1, Treated Spruce Lumber, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(279, 50 , null, Master Alchemist I, ../../assets/recipe-icons/wizard's-attire-augmentation.png, Wizard's Attire Augmentation, 1, Terminus Putty, 1, Saurian Leather, 1, Gold Ingot, 1, Hard Hippogryph Leather, 1, Rose Gold Ingot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(280, 50 , null, Master Alchemist I, ../../assets/recipe-icons/healer's-attire-augmentation.png, Healer's Attire Augmentation, 1, Terminus Putty, 1, Cashmere Cloth, 1, Ancient Lumber, 1, Vanya Silk, 1, Treated Spruce Lumber, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(281, 50 , null, Master Alchemist I, ../../assets/recipe-icons/evoker's-attire-augmentation.png, Evoker's Attire Augmentation, 1, Terminus Putty, 1, Cashmere Cloth, 1, Gold Ingot, 1, Vanya Silk, 1, Rose Gold Ingot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(282, 50 , null, Master Alchemist I, ../../assets/recipe-icons/scholar's-attire-augmentation.png, Scholar's Attire Augmentation, 1, Terminus Putty, 1, Cashmere Cloth, 1, Gold Ingot, 1, Vanya Silk, 1, Rose Gold Ingot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(283, 50 , null, Master Alchemist I, ../../assets/recipe-icons/ninja-garb-augmentation.png, Ninja Garb Augmentation, 1, Terminus Putty, 1, Wolfram Square, 1, Cashmere Cloth, 1, Vanya Silk, 1, Darksteel Ingot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(284, 50 , null, Master Alchemist I, ../../assets/recipe-icons/cordial.png, Cordial, 3, Filtered Water, 1, Rosemary, 1, Trillium, 1, Aloe, 1, Apricot, 1, null, null, Water Crystal, 7, Lightning Crystal, 5),
(285, 50 , null, Master Alchemist I, ../../assets/recipe-icons/the-maker's-ruin-orchestrion-roll.png, The Maker's Ruin Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of The Maker's Ruin, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(286, 50 , null, Master Alchemist I, ../../assets/recipe-icons/primal-judgment-orchestrion-roll.png, Primal Judgment Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Primal Judgment, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(287, 50 , null, Master Alchemist I, ../../assets/recipe-icons/fallen-angel-orchestrion-roll.png, Fallen Angel Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Fallen Angel, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(288, 50 , null, Master Alchemist I, ../../assets/recipe-icons/under-the-weight-orchestrion-roll.png, Under the Weight Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Under the Weight, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(289, 50 , null, Master Alchemist I, ../../assets/recipe-icons/wreck-to-the-seaman-orchestrion-roll.png, Wreck to the Seaman Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Wreck to the Seaman, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(290, 50 , null, Master Alchemist I, ../../assets/recipe-icons/through-the-maelstrom-orchestrion-roll.png, Through the Maelstrom Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Through the Maelstrom, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(291, 50 , null, Master Alchemist I, ../../assets/recipe-icons/good-king-moggle-mog-xii-orchestrion-roll.png, Good King Moggle Mog XII Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Rose Gold Ink, 1, Faded Copy of Good King Moggle Mog XII, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 5),
(292, 51, null, Master Alchemist I, ../../assets/recipe-icons/deep-red-enchanted-ink.png, Deep-red Enchanted Ink, 3, Deep-red Crystal, 3, Deepeye Tears, 2, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(293, 51, null, Master Alchemist I, ../../assets/recipe-icons/deep-green-enchanted-ink.png, Deep-green Enchanted Ink, 3, Deep-green Crystal, 3, Deepeye Tears, 2, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(294, 51, null, Master Alchemist I, ../../assets/recipe-icons/deep-blue-enchanted-ink.png, Deep-blue Enchanted Ink, 3, Deep-blue Crystal, 3, Deepeye Tears, 2, null, null, null, null, null, null, null, null, Water Cluster, 1, Lightning Cluster, 1),
(295, 60 , null, Master Alchemist I, ../../assets/recipe-icons/superior-deep-red-enchanted-ink.png, Superior Deep-red Enchanted Ink, 3, Deep-red Cluster, 3, Astral Oil, 1, Duskborne Aethersand, 3, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(296, 60 , null, Master Alchemist I, ../../assets/recipe-icons/superior-deep-green-enchanted-ink.png, Superior Deep-green Enchanted Ink, 3, Deep-green Cluster, 3, Astral Oil, 1, Duskborne Aethersand, 3, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(297, 60 , null, Master Alchemist I, ../../assets/recipe-icons/superior-deep-blue-enchanted-ink.png, Superior Deep-blue Enchanted Ink, 3, Deep-blue Cluster, 3, Astral Oil, 1, Duskborne Aethersand, 3, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 1),
(298, 50 , 110, Master Alchemist II, ../../assets/recipe-icons/kirimu-grimoire.png, Kirimu Grimoire, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Enchanted Platinum Ink, 1, Wootz Ingot, 3, Kirimu Leather, 2, null, null, Water Cluster, 2, Lightning Cluster, 2),
(299, 50 , 110, Master Alchemist II, ../../assets/recipe-icons/ona-ramuhda-first-edition.png, Ona Ramuhda First Edition, 1, Ancient Lumber, 2, Saurian Leather, 1, Gold Ingot, 1, Enchanted Gold Ink, 1, Large Levin Orb, 1, Battlecraft Demimateria III, 5, Lightning Cluster, 4, null, null),
(300, 50 , 110, Master Alchemist II, ../../assets/recipe-icons/kirimu-codex.png, Kirimu Codex, 1, Allagan Catalyst, 3, Battlecraft Demimateria III, 3, Enchanted Platinum Ink, 1, Ebony Lumber, 3, Kirimu Leather, 2, null, null, Water Cluster, 2, Lightning Cluster, 2),
(301, 50 , 110, Master Alchemist II, ../../assets/recipe-icons/the-law-of-levin-first-edition.png, The Law of Levin First Edition, 1, Ancient Lumber, 2, Saurian Leather, 1, Gold Ingot, 1, Enchanted Gold Ink, 1, Large Levin Orb, 1, Battlecraft Demimateria III, 5, Lightning Cluster, 4, null, null),
(302, 50 , null, Master Alchemist II, ../../assets/recipe-icons/tinker's-calm.png, Tinker's Calm, 3, Virgin Basilisk Egg, 2, Rosemary, 2, Allagan Catalyst, 1, null, null, null, null, null, null, Water Cluster, 2, Lightning Cluster, 2),
(303, 50 , null, Master Alchemist II, ../../assets/recipe-icons/hubris-orchestrion-roll.png, Hubris Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Platinum Ink, 1, Faded Copy of Hubris, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(304, 50 , null, Master Alchemist II, ../../assets/recipe-icons/tumbling-down-orchestrion-roll.png, Tumbling Down Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Platinum Ink, 1, Faded Copy of Tumbling Down, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(305, 50 , null, Master Alchemist II, ../../assets/recipe-icons/out-of-the-labyrinth-orchestrion-roll.png, Out of the Labyrinth Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Platinum Ink, 1, Faded Copy of Out of the Labyrinth, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(306, 50 , null, Master Alchemist II, ../../assets/recipe-icons/now-i-know-the-truth-orchestrion-roll.png, Now I Know the Truth Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Platinum Ink, 1, Faded Copy of Now I Know the Truth, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
(307, 50 , null, Master Alchemist II, ../../assets/recipe-icons/blind-to-the-dark-orchestrion-roll.png, Blind to the Dark Orchestrion Roll, 1, Blank Grade 2 Orchestrion Roll, 1, Enchanted Platinum Ink, 1, Faded Copy of Blind to the Dark, 1, null, null, null, null, null, null, Water Crystal, 7, Lightning Crystal, 7),
