(1, 1, null, null, ../../assets/recipe-icons/leatherworker/leather.png, Leather, 1, Animal Skin, 1, null, null, null, null, null, null, null, null, null, null, Earth Shard, 1, null, null),
(243, 50 , 55, null, ../../assets/recipe-icons/leatherworker/carpenter's-gloves.png, Carpenter's Gloves, 1, Hippogryph Leather, 1, Raptor Sinew, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(244, 50 , 55, null, ../../assets/recipe-icons/leatherworker/blacksmith's-gloves.png, Blacksmith's Gloves, 1, Hippogryph Leather, 1, Raptor Sinew, 1, Darksteel Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(245, 50 , 55, null, ../../assets/recipe-icons/leatherworker/armorer's-gloves.png, Armorer's Gloves, 1, Hippogryph Leather, 1, Undyed Felt, 1, Silk Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(246, 50 , 55, null, ../../assets/recipe-icons/leatherworker/goldsmith's-gloves.png, Goldsmith's Gloves, 1, Hippogryph Leather, 2, Woolen Yarn, 1, Electrum Ingot, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(247, 50 , 55, null, ../../assets/recipe-icons/leatherworker/leatherworker's-gloves.png, Leatherworker's Gloves, 1, Hippogryph Leather, 1, Silk Thread, 1, Raptor Sinew, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(248, 50 , 55, null, ../../assets/recipe-icons/leatherworker/weaver's-gloves.png, Weaver's Gloves, 1, Hippogryph Leather, 1, Silk Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(249, 50 , 55, null, ../../assets/recipe-icons/leatherworker/miner's-gloves.png, Miner's Gloves, 1, Hippogryph Leather, 1, Undyed Felt, 1, Silk Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(250, 50 , 55, null, ../../assets/recipe-icons/leatherworker/fisher's-gloves.png, Fisher's Gloves, 1, Hippogryph Leather, 1, Silk Thread, 1, Silver Ingot, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(251, 50 , 55, null, ../../assets/recipe-icons/leatherworker/carpenter's-slops.png, Carpenter's Slops, 1, Hippogryph Leather, 2, Raptor Sinew, 1, Electrum Ingot, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(252, 50 , 55, null, ../../assets/recipe-icons/leatherworker/miner's-slops.png, Miner's Slops, 1, Hippogryph Leather, 3, Undyed Felt, 1, Woolen Yarn, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(253, 50 , 55, null, ../../assets/recipe-icons/leatherworker/carpenter's-workboots.png, Carpenter's Workboots, 1, Hippogryph Leather, 1, Silk Thread, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(254, 50 , 55, null, ../../assets/recipe-icons/leatherworker/armorer's-workboots.png, Armorer's Workboots, 1, Hippogryph Leather, 1, Raptor Sinew, 1, Darksteel Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(255, 50 , 55, null, ../../assets/recipe-icons/leatherworker/goldsmith's-boots.png, Goldsmith's Boots, 1, Hippogryph Leather, 1, Woolen Yarn, 1, Electrum Ingot, 2, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(256, 50 , 55, null, ../../assets/recipe-icons/leatherworker/leatherworker's-workboots.png, Leatherworker's Workboots, 1, Hippogryph Leather, 1, Silk Thread, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(257, 50 , 55, null, ../../assets/recipe-icons/leatherworker/weaver's-thighboots.png, Weaver's Thighboots, 1, Hippogryph Leather, 2, Woolen Yarn, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(258, 50 , 55, null, ../../assets/recipe-icons/leatherworker/alchemist's-thighboots.png, Alchemist's Thighboots, 1, Hippogryph Leather, 2, Hippogryph Sinew, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(259, 50 , 55, null, ../../assets/recipe-icons/leatherworker/culinarian's-gaiters.png, Culinarian's Gaiters, 1, Hippogryph Leather, 2, Electrum Ingot, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(260, 50 , 55, null, ../../assets/recipe-icons/leatherworker/miner's-workboots.png, Miner's Workboots, 1, Hippogryph Leather, 1, Undyed Felt, 1, Darksteel Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(261, 50 , 55, null, ../../assets/recipe-icons/leatherworker/botanist's-workboots.png, Botanist's Workboots, 1, Hippogryph Leather, 2, Undyed Felt, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(262, 50 , 55, null, ../../assets/recipe-icons/leatherworker/fisher's-wading-boots.png, Fisher's Wading Boots, 1, Hippogryph Leather, 1, Undyed Felt, 1, Silk Thread, 1, Silver Ingot, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(263, 50 , null, null, ../../assets/recipe-icons/leatherworker/hard-hippogryph-leather.png, Hard Hippogryph Leather, 1, Hippogryph Leather, 2, Animal Fat, 9, null, null, null, null, null, null, null, null, Earth Cluster, 1, null, null),
(264, 50 , null, null, ../../assets/recipe-icons/leatherworker/gryphonskin-knee-pads.png, Gryphonskin Knee Pads, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Raptor Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(265, 50 , null, null, ../../assets/recipe-icons/leatherworker/gryphonskin-elbow-pads.png, Gryphonskin Elbow Pads, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Raptor Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(266, 50 , null, null, ../../assets/recipe-icons/leatherworker/gryphonskin-shin-guards.png, Gryphonskin Shin Guards, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Raptor Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(267, 50 , null, null, ../../assets/recipe-icons/leatherworker/gryphonskin-shoulder-guards.png, Gryphonskin Shoulder Guards, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Raptor Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(268, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-bandana.png, Gryphonskin Bandana, 1, Hard Hippogryph Leather, 1, Undyed Felt, 1, Tourmaline, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(269, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-hat.png, Gryphonskin Hat, 1, Hard Hippogryph Leather, 1, Undyed Felt, 1, Linen Yarn, 1, Wildfowl Feather, 1, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(270, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-jerkin.png, Gryphonskin Jerkin, 1, Gryphonskin Shoulder Guards, 1, Coeurl Fur, 1, Raptor Sinew, 1, Undyed Felt, 1, Rose Gold Nugget, 1, null, null, Earth Cluster, 1, Wind Cluster, 1),
(271, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-tunic.png, Gryphonskin Tunic, 1, Garlean Steel Joint, 1, Hard Hippogryph Leather, 1, Hippogryph Sinew, 1, Undyed Felt, 1, Undyed Linen, 1, null, null, Earth Cluster, 1, Wind Cluster, 1),
(272, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-gloves.png, Gryphonskin Gloves, 1, Gryphonskin Elbow Pads, 1, Coeurl Fur, 1, Raptor Sinew, 1, Rose Gold Nugget, 1, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(273, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-bracers.png, Gryphonskin Bracers, 1, Hard Hippogryph Leather, 1, Undyed Felt, 1, Silk Thread, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(274, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-voyager's-belt.png, Gryphonskin Voyager's Belt, 1, Hard Hippogryph Leather, 1, Darksteel Nugget, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(275, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-belt.png, Gryphonskin Belt, 1, Hard Hippogryph Leather, 1, Darksteel Nugget, 1, Cobalt Rivets, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(276, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-trousers.png, Gryphonskin Trousers, 1, Gryphonskin Shin Guards, 1, Coeurl Fur, 1, Raptor Sinew, 1, Undyed Felt, 1, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(277, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-kecks.png, Gryphonskin Kecks, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Undyed Felt, 1, Hippogryph Sinew, 1, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(278, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-thighboots.png, Gryphonskin Thighboots, 1, Gryphonskin Knee Pads, 1, Coeurl Fur, 2, Raptor Sinew, 1, Rose Gold Nugget, 1, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(279, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-moccasins.png, Gryphonskin Moccasins, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(280, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-choker.png, Gryphonskin Choker, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Hippogryph Sinew, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(281, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-wristbands.png, Gryphonskin Wristbands, 1, Hard Hippogryph Leather, 1, Horn Glue, 1, Darksteel Nugget, 1, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(282, 50 , 70, null, ../../assets/recipe-icons/leatherworker/gryphonskin-ring.png, Gryphonskin Ring, 1, Hard Hippogryph Leather, 1, Hippogryph Leather, 1, Silk Thread, 2, null, null, null, null, null, null, Earth Cluster, 1, Wind Cluster, 1),
(283, 50 , null, null, ../../assets/recipe-icons/leatherworker/levin-barding.png, Levin Barding, 1, Levin Orb, 1, Saurian Leather, 1, Rose Gold Nugget, 1, Silk Thread, 4, null, null, null, null, Earth Cluster, 2, Wind Cluster, 1),
(284, 50 , null, null, ../../assets/recipe-icons/leatherworker/ice-barding.png, Ice Barding, 1, Diamond Tear, 1, Allagan Leather, 1, Cashmere Cloth, 1, Platinum Nugget, 1, null, null, null, null, Earth Cluster, 2, Wind Cluster, 2),
(285, 51, null, null, ../../assets/recipe-icons/leatherworker/archaeornis-leather.png, Archaeornis Leather, 1, Archaeornis Skin, 3, Coerthan Tea Leaves, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, null, null),
(286, 51, 1, null, ../../assets/recipe-icons/leatherworker/archaeoskin-cloche.png, Archaeoskin Cloche, 1, Archaeornis Leather, 1, Rainbow Thread, 1, Chocobo Feather, 1, Wildfowl Feather, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(287, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-striking.png, Archaeoskin Gloves of Striking, 1, Archaeornis Leather, 2, Mythrite Nugget, 1, Jadeite, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(288, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-aiming.png, Archaeoskin Gloves of Aiming, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Agate, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(289, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-casting.png, Archaeoskin Gloves of Casting, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Agate, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(290, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-healing.png, Archaeoskin Gloves of Healing, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Agate, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(291, 51, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-crafting.png, Archaeoskin Gloves of Crafting, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(292, 51, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-gloves-of-gathering.png, Archaeoskin Gloves of Gathering, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(293, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-belt-of-striking.png, Archaeoskin Belt of Striking, 1, Archaeornis Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(294, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-breeches-of-fending.png, Archaeoskin Breeches of Fending, 1, Archaeornis Leather, 3, Rainbow Cloth, 1, Rainbow Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(295, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-breeches-of-maiming.png, Archaeoskin Breeches of Maiming, 1, Archaeornis Leather, 3, Rainbow Cloth, 1, Rainbow Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(296, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-boots-of-striking.png, Archaeoskin Boots of Striking, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Cloud Coral, 2, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(297, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-boots-of-scouting.png, Archaeoskin Boots of Scouting, 1, Archaeornis Leather, 2, Rainbow Cloth, 1, Rainbow Thread, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(298, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-shoes-of-aiming.png, Archaeoskin Shoes of Aiming, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Electrum Ingot, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(299, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-shoes-of-casting.png, Archaeoskin Shoes of Casting, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Electrum Ingot, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(300, 51, 115, null, ../../assets/recipe-icons/leatherworker/archaeoskin-shoes-of-healing.png, Archaeoskin Shoes of Healing, 1, Archaeornis Leather, 2, Rainbow Thread, 1, Electrum Ingot, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(301, 51, 1, null, ../../assets/recipe-icons/leatherworker/archaeoskin-boots.png, Archaeoskin Boots, 1, Archaeornis Leather, 1, Rainbow Thread, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(302, 51, 1, null, ../../assets/recipe-icons/leatherworker/archaeoskin-halfboots.png, Archaeoskin Halfboots, 1, Archaeornis Leather, 1, Silver Ingot, 1, Rubber, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 2),
(303, 52, null, null, ../../assets/recipe-icons/leatherworker/wyvern-leather.png, Wyvern Leather, 1, Wyvern Skin, 3, Coerthan Tea Leaves, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, null, null),
(304, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-jackcoat-of-crafting.png, Archaeoskin Jackcoat of Crafting, 1, Archaeornis Leather, 3, Rainbow Cloth, 1, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(305, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-jackcoat-of-gathering.png, Archaeoskin Jackcoat of Gathering, 1, Archaeornis Leather, 3, Rainbow Cloth, 1, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(306, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-gloves-of-fending.png, Wyvernskin Gloves of Fending, 1, Wyvern Leather, 2, Archaeornis Leather, 1, Rainbow Cloth, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(307, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-gloves-of-maiming.png, Wyvernskin Gloves of Maiming, 1, Wyvern Leather, 1, Mythrite Ingot, 2, Rose Gold Nugget, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(308, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-gloves-of-striking.png, Wyvernskin Gloves of Striking, 1, Wyvern Leather, 1, Mythrite Ingot, 2, Rose Gold Nugget, 2, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(309, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-cuffs-of-scouting.png, Wyvernskin Cuffs of Scouting, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(310, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-cuffs-of-aiming.png, Wyvernskin Cuffs of Aiming, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(311, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-gloves-of-casting.png, Wyvernskin Gloves of Casting, 1, Wyvern Leather, 2, Mythrite Ingot, 1, Rainbow Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(312, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-gloves-of-healing.png, Wyvernskin Gloves of Healing, 1, Wyvern Leather, 2, Mythrite Ingot, 1, Rainbow Thread, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(313, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-fending.png, Wyvernskin Belt of Fending, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(314, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-maiming.png, Wyvernskin Belt of Maiming, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(315, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-striking.png, Wyvernskin Belt of Striking, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(316, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-scouting.png, Wyvernskin Belt of Scouting, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(317, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-aiming.png, Wyvernskin Belt of Aiming, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(318, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-casting.png, Wyvernskin Belt of Casting, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(319, 52, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-belt-of-healing.png, Wyvernskin Belt of Healing, 1, Wyvern Leather, 2, Rainbow Thread, 1, null, null, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(320, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-breeches-of-crafting.png, Archaeoskin Breeches of Crafting, 1, Archaeornis Leather, 3, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(321, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-breeches-of-gathering.png, Archaeoskin Breeches of Gathering, 1, Archaeornis Leather, 3, Rainbow Thread, 1, Mythrite Nugget, 1, null, null, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(322, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-jackboots-of-crafting.png, Archaeoskin Jackboots of Crafting, 1, Archaeornis Leather, 2, Rainbow Cloth, 1, Rainbow Thread, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(323, 52, 65, null, ../../assets/recipe-icons/leatherworker/archaeoskin-jackboots-of-gathering.png, Archaeoskin Jackboots of Gathering, 1, Archaeornis Leather, 2, Rainbow Cloth, 1, Rainbow Thread, 1, Rubber, 1, null, null, null, null, Earth Crystal, 3, Wind Crystal, 3),
(324, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-mane-of-fending.png, Wyvernskin Mane of Fending, 1, Wyvern Leather, 2, Snurble Tufts, 4, Tiger's Eye, 2, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(325, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-pot-helm-of-maiming.png, Wyvernskin Pot Helm of Maiming, 1, Wyvern Leather, 2, Archaeornis Leather, 1, Rose Gold Nugget, 1, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(326, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-eyepatch-of-striking.png, Wyvernskin Eyepatch of Striking, 1, Wyvern Leather, 2, Archaeornis Leather, 1, Rainbow Thread, 1, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(327, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-mask-of-casting.png, Wyvernskin Mask of Casting, 1, Wyvern Leather, 2, Mythrite Ingot, 1, Yeti Fang, 2, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(328, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-fending.png, Wyvernskin Boots of Fending, 1, Wyvern Leather, 2, Archaeornis Leather, 2, Rose Gold Nugget, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(329, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-maiming.png, Wyvernskin Boots of Maiming, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Mythrite Nugget, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(330, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-striking.png, Wyvernskin Boots of Striking, 1, Wyvern Leather, 2, Archaeornis Leather, 1, Mythrite Rivets, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(331, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-scouting.png, Wyvernskin Boots of Scouting, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Mythrite Rivets, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(332, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-aiming.png, Wyvernskin Boots of Aiming, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Mythrite Rivets, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(333, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-casting.png, Wyvernskin Boots of Casting, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Rainbow Thread, 1, Rose Gold Nugget, 1, Rubber, 1, null, null, Earth Crystal, 4, Wind Crystal, 3),
(334, 53, 125, null, ../../assets/recipe-icons/leatherworker/wyvernskin-boots-of-healing.png, Wyvernskin Boots of Healing, 1, Wyvern Leather, 2, Rainbow Cloth, 1, Rainbow Thread, 1, Rose Gold Nugget, 1, Rubber, 1, null, null, Earth Crystal, 4, Wind Crystal, 3),
(335, 53, 80, null, ../../assets/recipe-icons/leatherworker/wyvernskin-workboots.png, Wyvernskin Workboots, 1, Wyvern Leather, 2, Holy Rainbow Cloth, 1, Rainbow Thread, 1, Rubber, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(336, 53, 80, null, ../../assets/recipe-icons/leatherworker/wyvernskin-wristbands.png, Wyvernskin Wristbands, 1, Wyvern Leather, 2, Mythrite Ingot, 1, Jadeite, 2, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(337, 53, 70, null, ../../assets/recipe-icons/leatherworker/wyvernskin-ring.png, Wyvernskin Ring, 1, Wyvern Leather, 1, Mythrite Ingot, 1, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(338, 54, null, null, ../../assets/recipe-icons/leatherworker/dhalmel-leather.png, Dhalmel Leather, 1, Dhalmel Hide, 3, Dark Chestnut Log, 1, null, null, null, null, null, null, null, null, Earth Crystal, 4, null, null),
(339, 54, 80, null, ../../assets/recipe-icons/leatherworker/wyvernskin-jerkin.png, Wyvernskin Jerkin, 1, Wyvern Leather, 3, Holy Rainbow Cloth, 1, Rainbow Thread, 1, Darksteel Nugget, 1, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(340, 54, 133, null, ../../assets/recipe-icons/leatherworker/dhalmelskin-armguards-of-striking.png, Dhalmelskin Armguards of Striking, 1, Dhalmel Leather, 2, Hardsilver Nugget, 2, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(341, 54, 133, null, ../../assets/recipe-icons/leatherworker/dhalmelskin-armguards-of-scouting.png, Dhalmelskin Armguards of Scouting, 1, Dhalmel Leather, 2, Hardsilver Nugget, 2, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(342, 54, 133, null, ../../assets/recipe-icons/leatherworker/dhalmelskin-armguards-of-aiming.png, Dhalmelskin Armguards of Aiming, 1, Dhalmel Leather, 2, Hardsilver Nugget, 2, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(343, 54, 133, null, ../../assets/recipe-icons/leatherworker/dhalmelskin-belt-of-striking.png, Dhalmelskin Belt of Striking, 1, Dhalmel Leather, 2, Titanium Nugget, 1, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
(344, 54, 133, null, ../../assets/recipe-icons/leatherworker/dhalmelskin-belt-of-scouting.png, Dhalmelskin Belt of Scouting, 1, Dhalmel Leather, 2, Titanium Nugget, 1, null, null, null, null, null, null, null, null, Earth Crystal, 4, Wind Crystal, 3),
