(1, 1, null, null, ../../assets/recipe-icons/culinarian/table-salt.png, Table Salt, 6, Rock Salt, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(118, 47, 49, null, ../../assets/recipe-icons/culinarian/mulled-tea.png, Mulled Tea, 3, Thanalan Tea Leaves, 1, Pearl Ginger, 1, Cloves, 1, Cinnamon, 1, Mineral Water, 1, null, null, Fire Shard, 6, Water Shard, 5),
(119, 48, 50, null, ../../assets/recipe-icons/culinarian/crowned-pie.png, Crowned Pie, 1, Pie Dough, 1, Mirror Apple, 1, Maple Sugar, 1, Cinnamon, 1, Almonds, 1, Tiny Crown, 1, Fire Shard, 6, Water Shard, 6),
(120, 49, 50, null, ../../assets/recipe-icons/culinarian/buttons-in-a-blanket.png, Buttons in a Blanket, 3, Button Mushroom, 3, Midland Cabbage, 1, Ruby Tomato, 1, Tomato Sauce, 1, Table Salt, 1, Desert Saffron, 1, Fire Shard, 6, Water Shard, 6),
(121, 50, 50, null, ../../assets/recipe-icons/culinarian/eft-steak.png, Eft Steak, 3, Eft Tail, 1, Black Pepper, 1, Garlean Garlic, 1, Sour Red, 1, Cider Vinegar, 1, Laurel, 1, Fire Shard, 6, Water Shard, 6),
(122, 50, 50, null, ../../assets/recipe-icons/culinarian/beef-stew.png, Beef Stew, 3, Sunset Wheat Flour, 1, Buffalo Sirloin, 1, Black Pepper, 1, Wild Onion, 1, Sour Red, 1, Mineral Water, 1, Fire Shard, 6, Water Shard, 6),
(123, 50, 50, null, ../../assets/recipe-icons/culinarian/trapper's-quiche.png, Trapper's Quiche, 3, Eft Tail, 1, Apkallu Egg, 1, Pie Dough, 1, Cream Cheese, 1, Nutmeg, 1, Midland Basil, 1, Fire Shard, 6, Water Shard, 6),
(124, 50, 50, null, ../../assets/recipe-icons/culinarian/dagger-soup.png, Dagger Soup, 3, Navigator's Dagger, 1, Cloud Cutter, 1, Table Salt, 1, Mineral Water, 1, Salt Leek, 1, null, null, Fire Shard, 6, Water Shard, 6),
(125, 50 , 55, null, ../../assets/recipe-icons/culinarian/tomato-pie.png, Tomato Pie, 3, Pie Dough, 1, Wild Onion, 1, Dzemael Tomato, 1, Midland Basil, 1, Rolanberry Cheese, 1, Table Salt, 1, Fire Crystal, 3, Water Crystal, 2),
(126, 50 , 55, null, ../../assets/recipe-icons/culinarian/bouillabaisse.png, Bouillabaisse, 3, Rothlyt Oyster, 1, Finger Shrimp, 1, Razor Clam, 1, Dzemael Tomato, 1, Olive Oil, 1, Desert Saffron, 1, Fire Crystal, 3, Water Crystal, 2),
(127, 50 , 55, null, ../../assets/recipe-icons/culinarian/pan-fried-mahi-mahi.png, Pan-fried Mahi-Mahi, 3, Mahi-Mahi, 1, Sunset Wheat Flour, 1, Olive Oil, 3, Table Salt, 1, null, null, null, null, Fire Crystal, 3, Water Crystal, 2),
(128, 50 , 55, null, ../../assets/recipe-icons/culinarian/landtrap-salad.png, Landtrap Salad, 3, Blue Landtrap Leaf, 1, La Noscean Lettuce, 1, Wild Onion, 1, Dzemael Tomato, 1, Olive Oil, 1, Table Salt, 1, Fire Crystal, 3, Water Crystal, 2),
(129, 50 , 55, null, ../../assets/recipe-icons/culinarian/rolanberry-cheesecake.png, Rolanberry Cheesecake, 3, Rolanberry Cheese, 2, Sweet Cream, 1, Honey Lemon, 1, Gelatin, 1, null, null, null, null, Fire Crystal, 3, Water Crystal, 2),
(130, 50 , 70, null, ../../assets/recipe-icons/culinarian/apkallu-omelette.png, Apkallu Omelette, 3, Black Truffle, 1, Apkallu Egg, 1, Sweet Cream, 1, Smooth Butter, 1, Table Salt, 1, Mineral Water, 1, Fire Cluster, 1, Water Cluster, 1),
(131, 50 , 70, null, ../../assets/recipe-icons/culinarian/sauteed-coeurl.png, Sauteed Coeurl, 3, Coeurl Meat, 1, Cooking Sherry, 1, Volcanic Rock Salt, 1, Garlean Garlic, 1, Smooth Butter, 1, null, null, Fire Cluster, 1, Water Cluster, 1),
(132, 50 , 70, null, ../../assets/recipe-icons/culinarian/pineapple-ponzecake.png, Pineapple Ponzecake, 3, Prickly Pineapple, 1, Sunset Wheat Flour, 1, Night Milk, 1, Apkallu Egg, 1, Maple Syrup, 1, null, null, Fire Cluster, 1, Water Cluster, 1),
(133, 50 , 70, null, ../../assets/recipe-icons/culinarian/pineapple-juice.png, Pineapple Juice, 3, Prickly Pineapple, 4, null, null, null, null, null, null, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(134, 50 , 70, null, ../../assets/recipe-icons/culinarian/finger-sandwich.png, Finger Sandwich, 3, Apkallu Egg, 1, La Noscean Lettuce, 1, Smooth Butter, 1, Volcanic Rock Salt, 1, Walnut Bread, 1, null, null, Fire Cluster, 1, Water Cluster, 1),
(135, 50 , 70, null, ../../assets/recipe-icons/culinarian/black-truffle-risotto.png, Black Truffle Risotto, 3, Black Truffle, 1, Sticky Rice, 1, Cottage Cheese, 1, Wild Onion, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(136, 50 , 70, null, ../../assets/recipe-icons/culinarian/lava-toad-legs.png, Lava Toad Legs, 3, Lava Toad, 1, Allagan Snail, 1, Wild Onion, 1, Dragon Pepper, 1, Sunset Wheat Flour, 1, Midland Basil, 1, Fire Cluster, 1, Water Cluster, 1),
(137, 50 , 70, null, ../../assets/recipe-icons/culinarian/chilled-popoto-soup.png, Chilled Popoto Soup, 3, La Noscean Leek, 1, Popoto, 1, Sweet Cream, 1, Smooth Butter, 1, Table Salt, 1, Highland Parsley, 1, Fire Cluster, 1, Water Cluster, 1),
(138, 50 , 70, null, ../../assets/recipe-icons/culinarian/spinach-quiche.png, Spinach Quiche, 3, Young Cieldalaes Spinach, 1, Apkallu Egg, 1, Pie Dough, 1, Nutmeg, 1, Cream Cheese, 1, Table Salt, 1, Fire Cluster, 1, Water Cluster, 1),
(139, 50 , null, null, ../../assets/recipe-icons/culinarian/grade-2-feed---speed-blend.png, Grade 2 Feed - Speed Blend, 5, Gregarious Worm, 2, Mazlaya Greens, 2, Sylkis Bud, 1, Gysahl Greens, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(140, 50 , null, null, ../../assets/recipe-icons/culinarian/grade-2-feed---acceleration-blend.png, Grade 2 Feed - Acceleration Blend, 5, Gregarious Worm, 2, Mazlaya Greens, 2, Pahsana Fruit, 1, Gysahl Greens, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(141, 50 , null, null, ../../assets/recipe-icons/culinarian/grade-2-feed---endurance-blend.png, Grade 2 Feed - Endurance Blend, 5, Gregarious Worm, 2, Mazlaya Greens, 2, Tantalplant, 1, Gysahl Greens, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(142, 50 , null, null, ../../assets/recipe-icons/culinarian/grade-2-feed---stamina-blend.png, Grade 2 Feed - Stamina Blend, 5, Gregarious Worm, 2, Mazlaya Greens, 2, Mimett Gourd, 1, Gysahl Greens, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(143, 50 , null, null, ../../assets/recipe-icons/culinarian/grade-2-feed---balance-blend.png, Grade 2 Feed - Balance Blend, 5, Gregarious Worm, 2, Mazlaya Greens, 2, Curiel Root, 1, Gysahl Greens, 1, null, null, null, null, Fire Cluster, 1, Water Cluster, 1),
(144, 51, null, null, ../../assets/recipe-icons/culinarian/sour-cream.png, Sour Cream, 3, Yak Milk, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(145, 51, 125, null, ../../assets/recipe-icons/culinarian/fig-bavarois.png, Fig Bavarois, 3, Old World Fig, 3, Gelatin, 1, Yak Milk, 2, Maple Sugar, 1, null, null, null, null, Fire Crystal, 3, Water Crystal, 2),
(146, 52, null, null, ../../assets/recipe-icons/culinarian/highland-flour.png, Highland Flour, 3, Highland Wheat, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(147, 52, 125, null, ../../assets/recipe-icons/culinarian/baked-onion-soup.png, Baked Onion Soup, 3, Cyclops Onion, 3, Knight's Bread, 1, Chicken Stock, 1, Cream Cheese, 1, Volcanic Rock Salt, 1, null, null, Fire Crystal, 3, Water Crystal, 3),
(148, 52, 125, null, ../../assets/recipe-icons/culinarian/stuffed-cabbage-rolls.png, Stuffed Cabbage Rolls, 3, Pearl Sprouts, 3, Loaghtan Chump, 2, Chicken Stock, 1, Tomato Sauce, 1, Volcanic Rock Salt, 1, null, null, Fire Crystal, 3, Water Crystal, 3),
(149, 53, null, null, ../../assets/recipe-icons/culinarian/fermented-butter.png, Fermented Butter, 3, Yak Milk, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(150, 53, 130, null, ../../assets/recipe-icons/culinarian/ishgardian-tea.png, Ishgardian Tea, 3, Coerthan Tea Leaves, 3, Yak Milk, 2, Maple Sugar, 1, null, null, null, null, null, null, Fire Crystal, 4, Water Crystal, 3),
(151, 53, 130, null, ../../assets/recipe-icons/culinarian/ishgardian-muffin.png, Ishgardian Muffin, 3, Yak Milk, 1, Sunset Wheat Flour, 3, Cornmeal, 1, null, null, null, null, null, null, Fire Crystal, 4, Water Crystal, 3),
(152, 53, 125, null, ../../assets/recipe-icons/culinarian/sauteed-porcini.png, Sauteed Porcini, 3, Porcini, 2, Garlean Garlic, 1, Sagolii Sage, 1, Fermented Butter, 1, Volcanic Rock Salt, 1, null, null, Fire Crystal, 4, Water Crystal, 3),
(153, 54, 136, null, ../../assets/recipe-icons/culinarian/sohm-al-tart.png, Sohm Al Tart, 3, Dark Chestnut, 3, Maple Sugar, 1, Sweet Cream, 1, Highland Flour, 2, null, null, null, null, Fire Crystal, 4, Water Crystal, 3),
(154, 54, 133, null, ../../assets/recipe-icons/culinarian/grilled-sweetfish.png, Grilled Sweetfish, 3, Sweetfish, 1, Volcanic Rock Salt, 2, null, null, null, null, null, null, null, null, Fire Crystal, 4, Water Crystal, 3),
(155, 54, 133, null, ../../assets/recipe-icons/culinarian/beet-soup.png, Beet Soup, 3, Magma Beet, 2, Loaghtan Chump, 2, Pearl Sprouts, 2, Mist Dill, 2, Sour Cream, 1, Abalathian Rock Salt, 1, Fire Crystal, 4, Water Crystal, 3),
(156, 54, 133, null, ../../assets/recipe-icons/culinarian/dhalmel-gratin.png, Dhalmel Gratin, 3, Dhalmel Meat, 2, Cyclops Onion, 2, Ramhorn Zucchini, 1, Highland Flour, 1, Popoto, 1, Sour Cream, 1, Fire Crystal, 4, Water Crystal, 3),
(157, 55, null, null, ../../assets/recipe-icons/culinarian/hollandaise-sauce.png, Hollandaise Sauce, 3, Heavens Lemon, 1, Gastornis Egg, 1, Fermented Butter, 1, Black Pepper, 1, null, null, null, null, Fire Shard, 7, null, null),
(158, 55, 139, null, ../../assets/recipe-icons/culinarian/kaiser-roll.png, Kaiser Roll, 3, Sesame Seeds, 2, Highland Flour, 3, Yak Milk, 1, null, null, null, null, null, null, Fire Crystal, 4, Water Crystal, 4),
(159, 56, null, null, ../../assets/recipe-icons/culinarian/vermicelli.png, Vermicelli, 3, Highland Flour, 3, Dravanian Spring Water, 1, Abalathian Rock Salt, 1, null, null, null, null, null, null, Fire Shard, 8, null, null),
(160, 56, 139, null, ../../assets/recipe-icons/culinarian/emerald-soup.png, Emerald Soup, 3, Emerald Beans, 3, Buffalo Beans, 2, Bouillon Cube, 1, Chives, 2, Abalathian Rock Salt, 1, null, null, Fire Crystal, 5, Water Crystal, 4),
(161, 56, 139, null, ../../assets/recipe-icons/culinarian/sesame-cookie.png, Sesame Cookie, 3, Highland Flour, 1, Gastornis Egg, 1, Sesame Seeds, 2, Honey, 1, null, null, null, null, Fire Crystal, 5, Water Crystal, 4),
(162, 57, 139, null, ../../assets/recipe-icons/culinarian/royal-eggs.png, Royal Eggs, 3, Okeanis Egg, 2, Hollandaise Sauce, 1, Seema Patrician, 1, Ishgardian Muffin, 1, null, null, null, null, Fire Crystal, 5, Water Crystal, 4),
(163, 57, 139, null, ../../assets/recipe-icons/culinarian/dhalmel-fricassee.png, Dhalmel Fricassee, 3, Dhalmel Meat, 2, Cyclops Onion, 2, Bouillon Cube, 1, Laurel, 1, Sour Cream, 1, null, null, Fire Crystal, 5, Water Crystal, 4),
(164, 58, 142, null, ../../assets/recipe-icons/culinarian/frozen-spirits.png, Frozen Spirits, 3, Cloud Banana, 2, Old World Fig, 2, Yak Milk, 2, null, null, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(165, 58, 145, null, ../../assets/recipe-icons/culinarian/baked-pipira-pira.png, Baked Pipira Pira, 3, Pipira Pira, 1, Abalathian Rock Salt, 1, Porcini, 2, Fermented Butter, 1, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(166, 58, 145, null, ../../assets/recipe-icons/culinarian/cockatrice-meatballs.png, Cockatrice Meatballs, 3, Cockatrice Thigh, 3, Cyclops Onion, 2, Flatbread, 1, Tomato Sauce, 1, Abalathian Rock Salt, 1, null, null, Fire Crystal, 5, Water Crystal, 5),
(167, 59, null, null, ../../assets/recipe-icons/culinarian/birch-syrup.png, Birch Syrup, 3, Birch Sap, 3, null, null, null, null, null, null, null, null, null, null, Fire Shard, 8, null, null),
(168, 59, 148, null, ../../assets/recipe-icons/culinarian/marron-glace.png, Marron Glace, 3, Dark Chestnut, 3, Birch Syrup, 1, Cooking Sherry, 1, null, null, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(169, 59, 148, null, ../../assets/recipe-icons/culinarian/liver-cheese-sandwich.png, Liver-cheese Sandwich, 3, Cockatrice Thigh, 2, Kaiser Roll, 1, Cream Cheese, 1, null, null, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(170, 60, 150, null, ../../assets/recipe-icons/culinarian/morel-salad.png, Morel Salad, 3, Morel, 2, Emerald Beans, 2, La Noscean Lettuce, 1, Young Cieldalaes Spinach, 1, Olive Oil, 1, Sesame Seeds, 1, Fire Crystal, 6, Water Crystal, 5),
(171, 60, 150, null, ../../assets/recipe-icons/culinarian/deep-fried-okeanis.png, Deep-fried Okeanis, 3, Okeanis Tail, 3, Highland Flour, 1, Olive Oil, 1, Dalamud Popoto, 1, Abalathian Rock Salt, 1, null, null, Fire Crystal, 6, Water Crystal, 5),
(172, 60, 150, null, ../../assets/recipe-icons/culinarian/clam-chowder.png, Clam Chowder, 3, Unidentified Flying Biomass, 2, Fanged Clam, 2, Bouillon Cube, 1, Chives, 1, Abalathian Rock Salt, 1, null, null, Fire Crystal, 6, Water Crystal, 5),
(173, 60, 150, null, ../../assets/recipe-icons/culinarian/stuffed-chysahl.png, Stuffed Chysahl, 3, Chysahl Greens, 3, Okeanis Tail, 2, Cream Cheese, 1, Chives, 2, Hollandaise Sauce, 1, Abalathian Rock Salt, 1, Fire Crystal, 6, Water Crystal, 5),
(174, 61, null, null, ../../assets/recipe-icons/culinarian/gyr-abanian-flour.png, Gyr Abanian Flour, 3, Gyr Abanian Wheat, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(175, 61, 260, null, ../../assets/recipe-icons/culinarian/loquat-juice.png, Loquat Juice, 3, Loquat, 3, Heavens Lemon, 1, Honey, 1, null, null, null, null, null, null, Fire Crystal, 3, Water Crystal, 2),
(176, 61, 260, null, ../../assets/recipe-icons/culinarian/baklava.png, Baklava, 3, Gyr Abanian Flour, 1, Gagana Egg, 1, Buffalo Milk, 1, Almonds, 1, Gridanian Walnut, 1, Honey, 1, Fire Crystal, 3, Water Crystal, 2),
(177, 62, null, null, ../../assets/recipe-icons/culinarian/algae-salt.png, Algae Salt, 3, Gem Algae, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(178, 62, 265, null, ../../assets/recipe-icons/culinarian/buckwheat-tea.png, Buckwheat Tea, 3, Buckwheat Kernels, 3, Gyr Abanian Mineral Water, 1, Thanalan Tea Leaves, 1, null, null, null, null, null, null, Fire Crystal, 3, Water Crystal, 3),
(179, 62, 265, null, ../../assets/recipe-icons/culinarian/charred-charr.png, Charred Charr, 3, Heather Charr, 1, Algae Salt, 1, null, null, null, null, null, null, null, null, Fire Crystal, 3, Water Crystal, 3),
(180, 62, 265, null, ../../assets/recipe-icons/culinarian/kasha.png, Kasha, 3, Buckwheat Kernels, 1, Bouillon Cube, 1, Cyclops Onion, 1, Mist Dill, 1, Gagana Egg, 1, null, null, Fire Crystal, 3, Water Crystal, 3),
(181, 63, null, null, ../../assets/recipe-icons/culinarian/cottonseed-oil.png, Cottonseed Oil, 3, Ruby Cotton Boll, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(182, 63, 270, null, ../../assets/recipe-icons/culinarian/popoto-soba.png, Popoto Soba, 3, Buckwheat Kernels, 1, Fish Stock, 1, Oriental Soy Sauce, 1, Mountain Popoto, 1, Gagana Egg, 1, Ama Nori, 1, Fire Crystal, 4, Water Crystal, 3),
(183, 63, 270, null, ../../assets/recipe-icons/culinarian/grilled-turban.png, Grilled Turban, 3, Horned Turban, 1, Oriental Soy Sauce, 1, Cooking Sake, 1, null, null, null, null, null, null, Fire Crystal, 4, Water Crystal, 3),
(184, 64, null, null, ../../assets/recipe-icons/culinarian/firm-tofu.png, Firm Tofu, 3, Soybeans, 3, Nigari, 1, Crescent Spring Water, 1, null, null, null, null, null, null, Fire Shard, 7, null, null),
(185, 64, null, null, ../../assets/recipe-icons/culinarian/beet-sugar.png, Beet Sugar, 3, Sugar Beet, 5, null, null, null, null, null, null, null, null, null, null, Fire Shard, 7, null, null),
(186, 64, 273, null, ../../assets/recipe-icons/culinarian/crab-croquette.png, Crab Croquette, 3, Gyr Abanian Flour, 1, Firm Tofu, 1, Gauntlet Crab, 1, Mountain Popoto, 1, Cyclops Onion, 1, Cottonseed Oil, 1, Fire Crystal, 4, Water Crystal, 3),
(187, 64, 273, null, ../../assets/recipe-icons/culinarian/miso-soup-with-tofu.png, Miso Soup with Tofu, 3, Oriental Miso Paste, 1, Fish Stock, 1, Firm Tofu, 1, Green Leek, 1, Crescent Spring Water, 1, null, null, Fire Crystal, 4, Water Crystal, 3),
(188, 65, null, null, ../../assets/recipe-icons/culinarian/rice-vinegar.png, Rice Vinegar, 3, Koshu Sticky Rice, 2, Sticky Rice, 2, Crescent Spring Water, 1, null, null, null, null, null, null, Fire Shard, 7, null, null),
(189, 65, 276, null, ../../assets/recipe-icons/culinarian/shorlog.png, Shorlog, 3, Dzo Chuck, 1, Paprika, 1, Cumin Seeds, 1, Black Pepper, 1, Algae Salt, 1, null, null, Fire Crystal, 4, Water Crystal, 4),
(190, 65, 276, null, ../../assets/recipe-icons/culinarian/sweet-and-sour-frogs'-legs.png, Sweet and Sour Frogs' Legs, 3, Steppe Bullfrog, 1, Gyr Abanian Flour, 1, Cottonseed Oil, 1, Kudzu Root, 1, Rice Vinegar, 1, Beet Sugar, 1, Fire Crystal, 4, Water Crystal, 4),
(191, 65, 276, null, ../../assets/recipe-icons/culinarian/gameni.png, Gameni, 3, Hornbill Tenderloin, 1, Bamboo Shoot, 1, Lotus Root, 1, Shiitake Mushroom, 1, Gyr Abanian Carrot, 1, Oriental Soy Sauce, 1, Fire Crystal, 4, Water Crystal, 4),
(192, 66, 279, null, ../../assets/recipe-icons/culinarian/tempura-platter.png, Tempura Platter, 3, Gyr Abanian Flour, 1, Gagana Egg, 1, Cottonseed Oil, 1, Yanxian Tiger Prawn, 1, Swordtip, 1, Lotus Root, 1, Fire Crystal, 5, Water Crystal, 4),
(193, 66, 279, null, ../../assets/recipe-icons/culinarian/steppe-salad.png, Steppe Salad, 3, Gyr Abanian Carrot, 1, Daikon Radish, 1, Lotus Root, 1, Rice Vinegar, 1, Cottonseed Oil, 1, Algae Salt, 1, Fire Crystal, 5, Water Crystal, 4),
(194, 66, 279, null, ../../assets/recipe-icons/culinarian/warrior's-stew.png, Warrior's Stew, 3, Dzo Chuck, 1, Mountain Popoto, 1, Gyr Abanian Carrot, 1, Sun Cabbage, 1, Fennel, 1, Algae Salt, 1, Fire Crystal, 5, Water Crystal, 4),
(195, 66, 279, null, ../../assets/recipe-icons/culinarian/nomad-meat-pie.png, Nomad Meat Pie, 3, Dzo Chuck, 1, Gyr Abanian Flour, 1, Sun Cabbage, 1, Cyclops Onion, 1, Oriental Soy Sauce, 1, Algae Salt, 1, Fire Crystal, 5, Water Crystal, 4),
(196, 67, 282, null, ../../assets/recipe-icons/culinarian/persimmon-pudding.png, Persimmon Pudding, 3, Persimmon, 1, Gyr Abanian Flour, 1, Gagana Egg, 1, Nutmeg, 1, Beet Sugar, 1, Steppe Milk, 1, Fire Crystal, 5, Water Crystal, 4),
(197, 67, 282, null, ../../assets/recipe-icons/culinarian/egg-foo-young.png, Egg Foo Young, 3, Gagana Egg, 1, Carpenter Crab, 1, Kudzu Root, 1, Shiitake Mushroom, 1, Bamboo Shoot, 1, Fish Stock, 1, Fire Crystal, 5, Water Crystal, 4),
(198, 67, 282, null, ../../assets/recipe-icons/culinarian/fish-stew.png, Fish Stew, 3, River Clam, 1, Corpse-eater, 1, Mountain Popoto, 1, Green Leek, 1, Algae Salt, 1, Crescent Spring Water, 1, Fire Crystal, 5, Water Crystal, 4),
(199, 68, 285, null, ../../assets/recipe-icons/culinarian/doman-tea.png, Doman Tea, 3, Persimmon, 1, Cinnamon, 1, Jhammel Ginger, 1, Crescent Spring Water, 1, Beet Sugar, 1, null, null, Fire Crystal, 5, Water Crystal, 5),
(200, 68, 285, null, ../../assets/recipe-icons/culinarian/onigara-yaki.png, Onigara-yaki, 3, Spiny Lobster, 1, Oriental Soy Sauce, 1, Cooking Sake, 1, Oriental Miso Paste, 1, null, null, null, null, Fire Crystal, 5, Water Crystal, 5),
(201, 68, 285, null, ../../assets/recipe-icons/culinarian/boiled-amberjack-head.png, Boiled Amberjack Head, 3, Amberjack, 1, Daikon Radish, 1, Oriental Soy Sauce, 1, Ruby Tide Kelp, 1, Jhammel Ginger, 1, Beet Sugar, 1, Fire Crystal, 5, Water Crystal, 5),
(202, 69, 288, null, ../../assets/recipe-icons/culinarian/chirashi-zushi.png, Chirashi-zushi, 3, Koshu Sticky Rice, 1, Rice Vinegar, 1, Shiitake Mushroom, 1, Lotus Root, 1, Yanxian Tiger Prawn, 1, Gagana Egg, 1, Fire Crystal, 5, Water Crystal, 5),
(203, 69, 288, null, ../../assets/recipe-icons/culinarian/jerked-jhammel.png, Jerked Jhammel, 3, Jhammel Haunch, 1, Ala Mhigan Salt Crystal, 1, Cumin Seeds, 1, Black Pepper, 1, Dragon Pepper, 1, Highland Oregano, 1, Fire Crystal, 5, Water Crystal, 5),
(204, 69, 288, null, ../../assets/recipe-icons/culinarian/miso-dengaku.png, Miso Dengaku, 3, Firm Tofu, 1, Doman Eggplant, 1, Daikon Radish, 1, Oriental Miso Paste, 1, Beet Sugar, 1, Cooking Sake, 1, Fire Crystal, 5, Water Crystal, 5),
(205, 70, 290, null, ../../assets/recipe-icons/culinarian/steamed-grouper.png, Steamed Grouper, 3, Zekki Grouper, 1, Oriental Soy Sauce, 1, Cottonseed Oil, 1, Cooking Sake, 1, Jhammel Ginger, 1, Green Leek, 1, Fire Crystal, 6, Water Crystal, 5),
(206, 70, 290, null, ../../assets/recipe-icons/culinarian/stewed-river-bream.png, Stewed River Bream, 3, River Bream, 1, Ala Mhigan Salt Crystal, 1, Cottonseed Oil, 1, Kudzu Root, 1, Sun Cabbage, 1, Doman Eggplant, 1, Fire Crystal, 6, Water Crystal, 5),
(207, 70, 290, null, ../../assets/recipe-icons/culinarian/jhammel-moussaka.png, Jhammel Moussaka, 3, Doman Eggplant, 1, Ramhorn Zucchini, 1, Mountain Popoto, 1, Jhammel Haunch, 1, Gyr Abanian Flour, 1, Steppe Milk, 1, Fire Crystal, 6, Water Crystal, 5),
(208, 70 , 300, null, ../../assets/recipe-icons/culinarian/jellied-compote.png, Jellied Compote, 3, Loquat, 1, Persimmon, 1, Othardian Plum, 1, Gelatin, 1, Beet Sugar, 1, Dusklight Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(209, 70 , 300, null, ../../assets/recipe-icons/culinarian/persimmon-leaf-sushi.png, Persimmon Leaf Sushi, 3, Koshu Sticky Rice, 1, Rice Vinegar, 1, Persimmon Leaf, 1, Ivory Sole, 1, Motley Beakfish, 1, Dusklight Aethersand, 1, Fire Cluster, 2, Water Cluster, 1),
(210, 71, null, null, ../../assets/recipe-icons/culinarian/frantoio-oil.png, Frantoio Oil, 3, Frantoio, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 6, null, null),
(211, 71, 390, null, ../../assets/recipe-icons/culinarian/grilled-rail.png, Grilled Rail, 3, Rail Tenderloin, 1, Frantoio Oil, 2, Abalathian Rock Salt, 1, Solstice Garlic, 1, null, null, null, null, Fire Crystal, 6, Water Crystal, 5),
(212, 71, 390, null, ../../assets/recipe-icons/culinarian/purple-carrot-juice.png, Purple Carrot Juice, 3, Purple Carrot, 3, Pixie Apple, 6, null, null, null, null, null, null, null, null, Fire Crystal, 6, Water Crystal, 5),
(213, 72, null, null, ../../assets/recipe-icons/culinarian/garden-beet-sugar.png, Garden Beet Sugar, 3, Garden Beet, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 6, null, null),
(214, 72, 395, null, ../../assets/recipe-icons/culinarian/caramels.png, Caramels, 3, Garden Beet Sugar, 3, Fermented Butter, 1, Sour Cream, 3, null, null, null, null, null, null, Fire Crystal, 6, Water Crystal, 6),
(215, 72, 395, null, ../../assets/recipe-icons/culinarian/broad-bean-soup.png, Broad Bean Soup, 3, Rail Tenderloin, 1, Broad Beans, 4, Buffalo Beans, 2, Highland Spring Water, 1, Ala Mhigan Salt Crystal, 1, null, null, Fire Crystal, 6, Water Crystal, 6),
(216, 73, null, null, ../../assets/recipe-icons/culinarian/squid-ink.png, Squid Ink, 3, Spearhead Squid, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 6, null, null),
(217, 73, 400, null, ../../assets/recipe-icons/culinarian/spaghetti-al-nero.png, Spaghetti al Nero, 3, Squid Ink, 2, Frantoio Oil, 1, Vermicelli, 3, Blood Tomato, 3, null, null, null, null, Fire Crystal, 6, Water Crystal, 6),
(218, 73, 400, null, ../../assets/recipe-icons/culinarian/broad-bean-salad.png, Broad Bean Salad, 3, Broad Beans, 3, Frantoio Oil, 1, Purple Carrot, 2, Curly Parsley, 1, La Noscean Lettuce, 2, null, null, Fire Crystal, 6, Water Crystal, 6),
(219, 73, 400, null, ../../assets/recipe-icons/culinarian/grilled-platinum-bream.png, Grilled Platinum Bream, 3, Platinum Bream, 3, Abalathian Rock Salt, 3, null, null, null, null, null, null, null, null, Fire Crystal, 6, Water Crystal, 6),
(220, 74, null, null, ../../assets/recipe-icons/culinarian/upland-wheat-flour.png, Upland Wheat Flour, 3, Upland Wheat, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 7, null, null),
(221, 74, null, null, ../../assets/recipe-icons/culinarian/golden-honey.png, Golden Honey, 3, Gianthive Chip, 5, null, null, null, null, null, null, null, null, null, null, Fire Crystal, 7, null, null),
(222, 74, 403, null, ../../assets/recipe-icons/culinarian/baguette.png, Baguette, 3, Upland Wheat Flour, 2, Highland Spring Water, 3, Ala Mhigan Salt Crystal, 1, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 6),
(223, 74, 403, null, ../../assets/recipe-icons/culinarian/blood-tomato-juice.png, Blood Tomato Juice, 3, Golden Honey, 1, Blood Tomato, 3, Heavens Lemon, 1, null, null, null, null, null, null, Fire Crystal, 7, Water Crystal, 6),
