(1, 1, null, null, ../../assets/recipe-icons/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(124, 32, 31, null, ../../assets/recipe-icons/steel-bardiche.png, Steel Bardiche, 1, Steel Ingot, 2, Yew Branch, 1, Wolf Fang, 1, Fish Glue, 1, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(125, 32, 32, null, ../../assets/recipe-icons/steel-cross-pein-hammer.png, Steel Cross-pein Hammer, 1, Steel Ingot, 1, Undyed Velveteen, 1, Walnut Lumber, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(126, 32, 34, null, ../../assets/recipe-icons/steel-ornamental-hammer.png, Steel Ornamental Hammer, 1, Steel Ingot, 1, Steel Rivets, 1, Walnut Lumber, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(127, 32, 31, null, ../../assets/recipe-icons/steel-mortar.png, Steel Mortar, 1, Steel Ingot, 2, Walnut Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(128, 32, 31, null, ../../assets/recipe-icons/steel-culinary-knife.png, Steel Culinary Knife, 1, Steel Ingot, 1, Walnut Lumber, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 3, Earth Shard, 3),
(129, 33, 34, null, ../../assets/recipe-icons/steel-dolabra.png, Steel Dolabra, 1, Steel Ingot, 1, Steel Plate, 1, Oak Lumber, 1, Undyed Velveteen, 1, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(130, 33, 33, null, ../../assets/recipe-icons/wrapped-steel-sledgehammer.png, Wrapped Steel Sledgehammer, 1, Steel Sledgehammer, 1, Fish Glue, 1, Boar Leather, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(131, 33, 31, null, ../../assets/recipe-icons/steel-hatchet.png, Steel Hatchet, 1, Steel Ingot, 1, Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(132, 33, 31, null, ../../assets/recipe-icons/steel-scythe.png, Steel Scythe, 1, Steel Ingot, 1, Walnut Lumber, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(133, 34, 34, null, ../../assets/recipe-icons/steel-zweihander.png, Steel Zweihander, 1, Steel Ingot, 3, Walnut Lumber, 1, Boar Leather, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(134, 34, 34, null, ../../assets/recipe-icons/steel-baselards.png, Steel Baselards, 1, Steel Ingot, 2, Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(135, 34, 34, null, ../../assets/recipe-icons/steel-barreled-musketoon.png, Steel-barreled Musketoon, 1, Steel Ingot, 2, Walnut Lumber, 1, Toad Leather, 1, Wyvern Obsidian, 1, Black Firesand, 1, null, null, Fire Shard, 4, Earth Shard, 3),
(136, 34, 34, null, ../../assets/recipe-icons/steel-crowsbeak-hammer.png, Steel Crowsbeak Hammer, 1, Steel Ingot, 1, Undyed Velveteen, 1, Oak Lumber, 1, Linseed Oil, 1, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(137, 34, 33, null, ../../assets/recipe-icons/steel-file.png, Steel File, 1, Steel Ingot, 2, Toad Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(138, 34, 34, null, ../../assets/recipe-icons/steel-doming-hammer.png, Steel Doming Hammer, 1, Steel Ingot, 1, Oak Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(139, 35, 34, null, ../../assets/recipe-icons/steel-bhuj.png, Steel Bhuj, 1, Steel Ingot, 2, Oak Lumber, 1, Iron Ingot, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(140, 35, 34, null, ../../assets/recipe-icons/crosscut-saw.png, Crosscut Saw, 1, Steel Ingot, 1, Steel Rivets, 1, Oak Lumber, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(141, 35, 33, null, ../../assets/recipe-icons/steel-pliers.png, Steel Pliers, 1, Steel Ingot, 1, Steel Rivets, 1, Linseed Oil, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(142, 35, 35, null, ../../assets/recipe-icons/heavy-steel-mortar.png, Heavy Steel Mortar, 1, Steel Mortar, 1, Walnut Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(143, 35, 35, null, ../../assets/recipe-icons/wrapped-steel-culinary-knife.png, Wrapped Steel Culinary Knife, 1, Steel Ingot, 1, Oak Lumber, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(144, 35, 34, null, ../../assets/recipe-icons/plumed-steel-hatchet.png, Plumed Steel Hatchet, 1, Steel Ingot, 1, Yew Lumber, 1, Chocobo Feather, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(145, 35, 35, null, ../../assets/recipe-icons/wrapped-steel-scythe.png, Wrapped Steel Scythe, 1, Steel Scythe, 1, Siltstone Whetstone, 1, Boar Leather, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 3),
(146, 35, 38, null, ../../assets/recipe-icons/vintage-bastard-sword.png, Vintage Bastard Sword, 1, Blunt Bastard Sword, 1, Mudstone Whetstone, 1, null, null, null, null, null, null, null, null, Fire Crystal, 1, null, null),
(147, 36, 35, null, ../../assets/recipe-icons/wrapped-steel-claw-hammer.png, Wrapped Steel Claw Hammer, 1, Steel Claw Hammer, 1, Boar Leather, 1, Linseed Oil, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 4),
(148, 36, 34, null, ../../assets/recipe-icons/steel-round-knife.png, Steel Round Knife, 1, Steel Ingot, 1, Oak Lumber, 1, Siltstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 4),
(149, 36, 35, null, ../../assets/recipe-icons/wrapped-steel-awl.png, Wrapped Steel Awl, 1, Steel Awl, 1, Toad Leather, 1, Linseed Oil, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 4),
(150, 37, 36, null, ../../assets/recipe-icons/steel-longsword.png, Steel Longsword, 1, Steel Ingot, 2, Walnut Lumber, 1, Fish Glue, 1, null, null, null, null, null, null, Fire Shard, 4, Earth Shard, 4)
